Title,Description,label
Slow cooker beef curry,"This hearty, spicy beef curry is only for those that can handle the heat I prefer to make it in the slow cooker, but it can be made hob also Great served over mashed potatoes or rice",indian
Simple chicken korma,A great recipe and simple to make Customise it to your own preferences and enjoy,indian
Bhuna chicken,"This Indian chicken curry is not only easy to make, but it also tastes fantastic Enjoy with freshly cooked basmati rice and naan bread, if desired",indian
Easy onion bhaji,"Spicy, crispy Indian fritters, made with onions and gram flour (a big plus for gluten-free eaters), are the ultimate Indian comfort food snack",indian
Chicken tikka masala,This chicken tikka masala is an easy but flavoursome version of everyone's favourite mild-medium curry,indian
Chicken chicken curry,"There are a hundred different ways to cook chicken curry, but Bengalis (from the eastern part of India) make something called Kosha (or kawshaa) which is very good with either rice or any kind of flat bread ",indian
Coconut curry,"Use this coconut curry recipe for chicken, beef or lamb Easy to make and very versatile Curry night will never be the same",indian
Prawn and spinach biryani,A fragrantly spiced pilaf-style dish that doesn't take much more effort than ringing for a take-away yet is much healthier as it is low in fat Serve with a refreshing raita to complete the meal,indian
Kokub's mango chutney,"We live in Saudi Arabia in a close-knit community full of different cultures, and our neighbours from Pakistan have become like our extended family away from home Kokub, one of our neighbours, makes the most ",indian
Chris's chicken tikka masala,Here's my version of this classic chicken curry I usually make double or triple the quantity of the sauce at one time because it freezes very well I also add much more than the 1 teaspoon of cayenne pepper that I ,indian
Chicken korma,"A traditional, mild North Indian recipe An unforgettable dish when served on a bed of pilau rice with some Peshwari naan",indian
Naan,"This recipe makes the best naan I have tasted outside of South Asia I don't have a tandoor, so I've found that the barbecue is the next best thing",indian
Chicken Vindaloo,"I experimented with many Vindaloo recipes, and after changing a few ingredients/quantities around I ended up with this delicious recipe that my friends and family adore It can be easily tweaked to your own tastes too",indian
Barbecued chicken tikka masala,"Chunks of chicken are marinated in yoghurt and spices, cooked on the barbecue or in a griddle pan, then served in a creamy tomato sauce Perfect with basmati rice or warm pitta bread",indian
Chicken Balti,"Chicken curry stir-fry in balti pot, or flat-bottomed wok, with peppers and onion Goes well with naan I find it easier to prepare the curry sauce first and allow it to cook slowly on low heat while I prepare the remaining ",indian
Indian-style yellow coconut curry chicken,This my adaptation of an Indian-style yellow curry chicken The smell emanating from your kitchen will delight everybody It's best served with fresh naan bread and rice,indian
Simple butter chicken curry,A simple chicken curry that is easy to make with only six ingredients,indian
Slow cooker easy beef curry,"Beef, curry paste and spices cooked all day in the slow cooker Serve with rice and naan bread for a quick cheats curry which is delicious",indian
Lamb Rogan Josh,"Lean lamb releases its juices during slow, gentle cooking in this mild curry flavoured with dry-roasted spices Try serving with Cardamom Rice (also on this website)",indian
Chicken pakora,"A deliciously crunchy and satisfying Indian starter, which is perfect when served with a variety of sauces These chicken pakoras are quick and easy to make and taste fantastic",indian
Aromatic beef curry,"This will satisfy even the most demanding curry addict Lean and tender sirloin steak is quickly cooked with lots of spices, tomatoes, mushrooms and spinach, with yogurt added to give a luxurious feel Served with ",indian
Naan breads,"Naan is an Indian flat bread, traditionally baked on the sides of a clay tandoor oven The familiar teardrop shape develops when the bread stretches as it hangs inside the oven This simple recipe produces ",indian
Murgh makhani (Indian butter chicken),"This is a luscious, buttery Punjabi chicken curry best served with fresh coriander, naan and basmati rice",indian
Spinach and beef curry,This fragrant and colourful beef curry with tomatoes and coconut milk can be eaten with rice or naan,indian
Chicken tikka masala my own style,"After scouting the net for a recipe I found too many variations so I experimented with basic ingredients myself, and came up with this version So far I have had no complaints, even my 7-year-old daughter ",indian
Easy prawn curry,"This is a home-style South Indian prawn curry recipe from my husband's family It is simple and quick to make It contains no coconut so is not sweet, just mostly juicy and as spicy as you like it Serve with basmati ",indian
Baingan bharta (Aubergine curry),"This is a simple and tasty vegetarian Indian dish that is sure to rouse your taste buds Delicious served on its own or as an accompaniment to a meat curry with pitta, naan or rice",indian
Sweet potato curry with paneer,"A light, colourful curry that is very quick and easy to make, this is packed with antioxidant-rich vegetables Sweet potatoes, in particular, are an excellent source of beta-carotene and vitamin C, and have a higher ",indian
Garlic naan bread,"A fairly quick garlic naan that I experimented with This dough can be used for pizzas and bread as I do all the time and it is a big hit with the family I make a double batch of dough at a time, leave it to expand and then ",indian
Wholemeal chapati,I make it for my diabetic husband all the time Serve these with your favourite fish or vegetable dish,indian
Authentic Bangladeshi chicken curry,This chicken curry is a family favourite passed through the family It is possible to substitute the potatoes for any vegetable that you like but personally I think the potatoes make the dish very tasty and filling ,indian
Dal,"I actually learnt this in the kitchen of a seasoned Indian homecook Traditional fragrant dish with toor dal, ginger, chilli, tomatoes, cumin and garlic",indian
Easy chicken dopiaza,"This isn't typical curry house fare - I learnt this recipe from an Indian lady who used to cook for her entire family Dopiaza means 'two onions', which you'll find in this simple but delicious recipe You can also use lamb ",indian
Lamb bhuna,"This Indian curry takes a little while to make, but the results are really worth it A delicious curry, flavoured with home-roasted and ground spices cling to succulent cubes of lamb Serve with basmati rice",indian
Chicken phall,One of the spicer curries Serve on a bed of rice and sprinkle over the freshly chopped coriander,indian
Mint sauce for poppadoms,A brilliantly easy mint sauce to serve with poppadoms or your favourite Indian snack A must for curry night,indian
Murgh makhani (Indian butter chicken curry),"This is a simple home version of butter chicken, also known as 'murgh' or 'chicken makhani' This is best served with naan or you can also serve this with basmati rice",indian
Aloo jeera,"Chunks of warm potato tossed with cumin, turmeric and curry powder",indian
Creamy chicken korma,"Coconut and almonds give this mild korma its distinctive richness Take a few minutes to prepare it, then leave it in the oven to cook Serve with basmati rice or warm naan bread Delicious",indian
Slow cooker tikka masala,"Chicken tikka masala slow cooked to perfection in the slow cooker It doesn't get easier than this No extra steps, just chuck it all in and wait for delicious results",indian
Slow cooker lamb and sweet potato curry,"A great recipe to throw into the slow cooker, and know when you get home from work, there's a tasty hot meal ready and waiting for you",indian
Vegetable and green lentil curry,"A moist, flavoursome curry which can be tweaked to suit personal tastes regarding spice and heat This lentil curry calls for green peppers, but you can experiment with other types of vegetables - adding cauliflower, red ",indian
Cod curry,This tomato based curry may be modified for heat depending on quantity of spices and number of chillies used It is a great favourite with my family - I make it about once a month,indian
Balti chicken curry,"This is a healthy, low fat, quick chicken balti with plenty of spice Goes well with warm naan bread, if you don't feel like cooking rice",indian
Vegetarian korma,"This is an easy and exotic curry It's rich, creamy, mildly spiced and extremely flavourful Serve with naan and rice",indian
Homemade chicken jalfrezi,"Who needs a takeaway when you have this recipe Use lamb or beef, if you prefer",indian
Makhani chicken (Indian butter chicken),"This fragrant, spicy Indian butter chicken recipe is from the owner of my favourite Indian restaurant, India Cuisine Serve with hot Indian bread",indian
Authentic naan,This authentic Indian naan recipe goes well with Indian curries with a lot of sauce,indian
Sweet and Spicy Balti Chicken,This quick and easy curry uses simple storecupboard ingredients to make a satisfying meal,indian
Slow cooker madras chicken curry,"This is a rich tomatoey curry, with a lot of taste and a proper kick The recipe has evolved over time and has become a real favourite in my family I cook it in advance and freeze it in foil takeaway trays You can ",indian
Turkey biryani,"Everyone loves a good biryani, and this turkey biryani is no exception I buy turkey a lot, because it's usually cheaper than chicken breasts, and also healthier My family love this turkey biryani",indian
Barbecued Tandoori Chicken,An Indian-inspired paste made from an assortment of spices is the secret to this spicy barbecued chicken recipe No long marinating time is required; the chicken can marinate in the time it takes to get the ,indian
Christina's lamb rogan josh,This our favourite Rogan Josh Perfect every time It also tastes great cooked in a slow cooker See tip below,indian
Madras potato curry,"This dish makes a colourful main for a dinner party Potatoes, cauliflower florets and red lentils combine with onions, garlic, curry powder, ginger, tomatoes, malt vinegar and chutney",indian
Beef Keema curry,"This mellow curry has just a hint of chilli, so it's ideal for children who like to be a little adventurous with their food Serve with steamed basmati rice and warm naan bread",indian
Spicy Indian masoor dhal,"Masoor dhal are red lentils and this spicy red lentil dish can be enjoyed as a starter, or as a main with rice or naan",indian
Bombay potatoes,"These potatoes taste gorgeous for lunch or dinner with chapatis, rotis or tortillas The spices can be found at any Indian shop",indian
Low-fat chicken korma,"I love a good korma, but the thought of all that saturated fat puts me off So I came up with this, which uses low-fat yogurt instead of cream, and includes a couple of your five-a-day too All the taste but just a fraction ",indian
Fish bhuna,"A super delicious Indian fish curry The secret to the flavour of this dish is frying the spices until extremely fragrant Enjoy with freshly cooked basmati rice and naan bread, if desired",indian
Chicken Curry with Green Pepper,"A lovely curry that can be adapted to the required strength Myself and my hubby prefer 'mild' curries, so I use mild curry powder, but any strength can be used Not many ingredients are used, so this would be ",indian
Basmati Rice,Growing tired of takeaways Make your own basmati to go with a spicy homemade curry,indian
Slow cooker balti lamb curry,There is nothing better than having someone cook a lovely dinner for you Sit back and let the slow cooker do all the work in making this lovely lamb balti curry Great for starting in the morning and finishing in the ,indian
Easy Indian butter chicken,This is a recipe I have perfected over the years and passed onto many others The sauce is perfect when creamy and not too thick or too thin The level of salt and spices can be suited to your taste,indian
Curried potatoes,"A delicious, Indian-inspired, vegetarian-friendly potato dish Potatoes are simmered in a homemade curry paste Serve with rice and vegetable curry",indian
Indian lamb with spiced lentils,"Freshly ground spices make this dhansak-style curry fabulously fragrant, while green lentils give texture and substance Serve with chapattis and yogurt, and saffron rice sprinkled with chopped, toasted cashews",indian
Easy coconut chicken curry,A very simple but delicious Indian coconut chicken curry Use your favourite shop-bought curry paste to taste for this family friendly staple,indian
Homemade Indian curry base,"This curry base is easy to make using only Indian spices which can be bought from most supermarkets This can be used with any meat, poultry or vegetables you want and is easily frozen to be used when you need ",indian
Lamb Madras curry,"This is my all time favourite curry to make; it's pungent flavour wins me over every time You can use beef if you like, but it often takes a little longer to cook, so just leave it simmering for another 20 minutes or ",indian
Saffron rice,"Saffron is expensive, but it adds a wonderful luxurious flavour to rice Serve with Indian and Persian dishes",indian
Colonial beef curry,"The oriental spices that flavour curry – popular since colonial days – may have medicinal properties too Turmeric, for instance, is said to improve circulation and relieve digestive problems",indian
Easy chickpea curry,This is my personal curry recipe that I've ended up developing over the years It's very versatile - feel free to add any veggies or meats All the ingredients can be adjusted to fit your preference Serve over rice or ,indian
Goan chicken vindaloo,A chicken vindaloo from Goa It's made with chicken legs which absorb the flavours better but you could use chicken breasts Cubes of potatoes are deep fried and added to the curry near the end Serve with hot rice,indian
Indian fish curry,This recipe has been in our family since 1972 and not a year goes by when we don't make it at least once if not twice The flavours are incredible and yet this recipe is so simple Serve with rice and naan bread,indian
Chicken biryani,"This is a delicious Pakistani/Indian rice dish which is often reserved for very special occasions such as Ramadan, weddings or parties It has a lengthy preparation, but the work is definitely worth it",indian
Chicken curry,A classic and easy chicken curry that's better than any takeaway Serve hot with naan or rice,indian
Chicken and potato curry,"Letting the chicken pieces sit for half an hour in a gingery marinade makes all the difference to this curry Skinning the chicken not only does away with most of the bird's fat, it also lets the spicy flavours really ",indian
"Tomato, cauliflower and lentil curry",This is an easy vegetable curry with just enough spice The lentils are filling and you can add any vegetables you have Spinach leaves add extra colour and flavour,indian
Mulligatawny Soup,This aromatic Anglo-Indian soup is a curry house staple; why not try it homemade The name mulligatawny comes from two Tamil words meaning 'pepper' and 'water' How peppery you make it is up to you,indian
Creamy chicken and tomato curry,"A quick weeknight chicken curry that's made with stuff you probably have in your cupboards already; curry powder, coconut milk, tinned tomatoes and passata",indian
Vegetarian lentil and bean curry,"A hearty lentil, chickpea and kidney bean curry that gets a touch of sweetness from sultanas Garnish with freshly chopped coriander",indian
Spinach and chickpea curry,Delicious and super quick curry - cheap and filling,indian
Four Seasons Chicken Curry,"A hot, sweet, sour and fragrant explosion of taste on a plate The longer you leave to infuse the tastier it gets You won't serve a better curry Serve with rice or naan bread Don't worry about the other whole spices, as ",indian
Slow cooker lamb and spinach curry,"Take curry night to a whole new level with this lamb and spinach curry Set this curry on to cook and let the slow cooker work its magic to produce a flavourful, creamy and moreish result best served over rice",indian
Bangladeshi beef curry,"This beef curry is an authentic recipe from Bangladesh Beef stewing steak is cooked with an aromatic combination of spices The spice list might look daunting, but most you should have in your cupboard ",indian
Hardy's chicken curry,This chicken curry is based on a traditional Indian curry recipe People have told me it is the best chicken curry they've ever had,indian
Mushroom bhaje,"Tasty Indian side dish to accompany an Indian banquet or good enough to eat as a main course with pilau rice Delicately spiced, juicy mushrooms Tastes just like the local Indian restaurant Serves 2 as a side dish or 1 ",indian
Tasty and creamy chicken korma,"A deliciously creamy korma with a subtle and mild flavour, ideal for those who don't like curries too hot",indian
Indian chicken tikka masala,"Try making your own chicken tikka masala and see how it compares to a takeaway It's spiced chicken baked in a very hot oven, then added to a rich tomato and curry-based cream sauce",indian
Spicy Coconut Chicken Curry,"A rich, spicy and creamy coconut curry",indian
Mango chutney,"This is a foolproof mango chutney that's one to keep in the recipe book for years to come My favourite chutney by far, with just the right amount of heat for me Great for using overripe mangoes that you can ",indian
Chickpea and rice balls,"These tasty chickpea-based balls, flavoured with garlic, chilli and lots of fresh coriander, make a delicious alternative to rice or potatoes Cooked traditionally as an Indian dish the balls would be deep-fried, but here ",indian
Samosas,"These stuffed savoury pastries are a traditional Indian favourite Lamb and spices are cooked together to create a mouthwatering filling for the easy to make pastry The recipe may seem complex, but it's actually fairly ",indian
Real chicken tikka masala,This recipe started out from a demonstration of curry making that I gave to a meeting of Yorkshire Ladies many years ago It was inspired by recipe ideas from Pat Chapman of The Curry Club and has evolved out of ,indian
Slow cooker lamb biryani,This gorgeous dish is a favourite in our family and so easy when done in the slow cooker It is as if the slow cooker was made for biryani,indian
Chicken Nasi Biryani,A fantastically easy chicken recipe using storecupboard staples,indian
Keema curry,"Minced meat is excellent value, very versatile and universally popular It is used here in a quick Indian-style curry serve with warm naan or chapattis and thick, creamy yoghurt",indian
Quick and healthy vegetable curry,A spicy and tasty vegetable curry that is quick to prepare and cook Serve with basmati rice and a naan bread,indian
Simple prawn curry,A very easily made fresh tasting prawn curry with sauteed peppers and onion Can be made as hot as you like,indian
Kheema pilau,"You can call this cheats biryani First you pan-fry the spiced minced meat, then spread rice over the top and allow it to cook until done You could also make this with minced lamb or chicken It's delicious served with ",indian
Coriander chutney ,"This is a very tasty Indian chutney, prepared in moments in the blender Lemon juice, coriander, green chilli, peanuts and ginger Serve as a condiment with poppadoms",indian
Easy saag aloo,This Indian side dish is made with potatoes and spinach Pretty healthy and tastes great You can also use up any leftover boiled potatoes,indian
Simple turkey curry,"This is a twist on butter chicken, but instead uses turkey I like to use turkey year round, as it's healthier and often cheaper than chicken This turkey curry is very simple to make, with just a handful of ingredients ",indian
Tomato and pea curry,"First you sauté onion with cinnamon and cumin Then you stir in tomatoes, fresh peas and coconut milk with chilli powder, coriander and turmeric",indian
Indian vegetable bhaji,"Try this to enjoy the drier variety of an Indian curry Great with naan or paratha, or with rice and dal",indian
Keerti's Karwari prawns,"This traditional prawn dish made with fresh coconut is typical to the coastal areas of Karwar in Karnataka state, India",indian
Michelle's mulligatawny soup,"Literally meaning ""pepper water"", mulligatawny soup is an Anglo-Indian invention It was created by servants to the Raj, who demanded a soup course from a culture that had never produced one You can make this ",indian
Colin's flat bread,"A tasty addition to a meal - traditional flat bread, using only three ingredients - plain flour, salt and water",indian
Sausage Curry,"This is pure comfort food especially for when its a cold day The recipe was originally made by my Gran, my Mum taught me, and now I want to teach everyone, it's too good to be just a family recipe The dish came ",indian
Chicken curry with apricots,"A great week-night curry Apricots, cumin, turmeric, cardamom, ginger and chillies make the chicken SO flavourful It's sure to become a family favourite",indian
Staple curry sauce,"Better than a takeaway - this fragrant, rich and versatile sauce includes spices like coriander, cumin and turmeric, along with the requisite garlic and ginger, all stirred with a purée of tomatoes, chillies and yoghurt ",indian
Cholay (Curried Chickpeas),"This is a fragrant and flavourful chickpea curry from North India, usually eaten with fried bread like bhatura or puri I like to serve it over rice for a filling vegetarian meal This recipe is much quicker to make if you use ",indian
Aloo Gobi,Make this authentic Indian vegetable dish at home - perfect on its own or as an accompaniment to a meat curry,indian
Spicy samosas,"Samosas are traditionally deep-fried, but in this delicious version they are made with crunchy filo pastry, brushed with a little oil and baked Serve with fruit chutney or yoghurt raita and a mixed salad for a casual, light ",indian
Basic curry sauce,This is a very versatile Indian curry sauce that can be served as a main course with meats and/or vegetables or as a sauce for dipping or to spice up veggie side dishes It's great on a jacket potato,indian
Onion Bhaji,"The perfect finger food or side dish for your favourite curry You can use the batter recipe to make other bhaji variations by using other vegetables instead of, or in conjunction with, onions",indian
Chicken vindaloo from scratch,"A spicy authentic East Indian speciality Try making your own curry for a change - you won't regret it The vindaloo paste can also be made ahead of time, covered and put in the fridge, to save cooking time",indian
Wholemeal chapattis,This classic Indian flatbread is a cinch to make They are perfect with any Indian themed dinner and also make a delicious sandwich wrap,indian
Potato curry with peas and mushrooms,This simple combination of ingredients is delicious served as a side dish or as a vegetarian main course with basmati rice or warm naan bread,indian
Spicy Indian chicken,"Delicious and fragrant, this is a good staple recipe to have on hand when you're craving a takeaway",indian
Homemade low fat spicy chicken curry,My version of a low fat delicious warming curry This chicken curry is for two but can be easily doubled to feed the whole family,indian
Indian peanut curry,"This is an easy, authentic dish that appeals to a wide range of tastes The combination of ingredients may appear unusual, but even those shy to experiment with new flavours love this one Vegan friendly",indian
Slow cooked chicken jalfrezi,"An authentic, slow cooked chicken jalfrezi with whole spices and chicken on the bone for ultimate flavour",indian
Cucumber mint raita ,"This cucumber raita is flavoured with fresh mint, fresh coriander and a touch of ground cumin You'll be making this often",indian
Lamb Rhogan Gosht,"Warm up on a chilly winter's day with this aromatic, rich and golden lamb curry It's a no-fuss recipe that can be left to simmer gently and needs just warmed garlic and coriander naan breads to accompany Delicious",indian
Quick chicken curry,A quick chicken curry from India that doesn't sacrifice on flavour The aromas and flavours are a delight to the senses Serve with fluffy basmati rice and warm naan,indian
Indian sweet roti,This recipe is an old family favourite A crisp and sweet flatbread that's fried on a flat pan Everyone in my family loves it,indian
Hot and spicy prawn curry,This is one of my favourite dishes I love spicy dishes and I learnt this one from my dear mum who is the best cook in the world - I hope you like it too I bet the people who love spice will surely love this recipe Serve ,indian
Favourite chicken korma ,"In this mild dish, chicken is simmered in a creamy fragrant sauce with onion, garlic, ginger and cashews Serve over basmati rice Add more chilli or cayenne for more heat",indian
Courgette bhajis,"A delightful Indian take on the versatile British vegetable Spicy little courgette patties are fried in oil, and served with chutney",indian
Chicken Chickpea Curry,"A really fast and easy chicken curry recipe, which is embellished with chickpeas This is a family friendly curry, as it isn't too spicy With rice it makes a complete, filling meal",indian
Jeera rice,"Jeera simply refers to cumin Cumin seeds are fun to cook with, they come alive when you drop them in hot oil They impart a very special flavour to this rice Serve with your favourite curry",indian
Easy peasy pilau rice,Easy peasy pilau rice ready in 15 minutes Serve as a side dish alongside an array of main Indian dishes,indian
Pork vindaloo,This delicious vindaloo is just as spicy and good as a takeaway Try making it yourself it's easy and fills the house with a brilliant aroma,indian
"Indian pineapple, lime and ginger soup","This is a hot soup from India made with pineapple and lime juice, enhanced with the flavours of ginger, green chilli and cumin seeds It smells and tastes so good served with rice",indian
Chaat dahi batata puri,Chaat is a broad term that encompasses many different savoury Indian snacks This recipe is made of yoghurt and potatoes and other chaat sauces,indian
Spicy brinjal,It's simply yummy - this is an Indian aubergine recipe I am sure you'll love it,indian
Coconut chikki,"Sweets are a centrepiece of the Punjabi agricultural festival Lohri, and coconut chikki is definitely a favourite So here's a quick idea for your Lohri feast, and you won't even have to place a few calls to Pakistan to get ",indian
Indian chapati in 5 minutes,"The Indian chapati, sometimes called a 'roti' is the purest form of bread in that it contains no yeast or additives It is fantastic to use as a savoury accompaniment or wrap but also as a base for a breakfast treat I ",indian
Naan bread,A traditional Indian bread to serve with curries Freezes well,indian
Low fat mild chicken curry,"A very mild, low fat chicken curry Very child friendly, and easy to prepare Serve with brown rice",indian
Chicken and banana korma,"This mild chicken and banana curry, enriched with almonds and yogurt, has a wonderfully smooth, creamy texture Boneless, skinless chicken thighs add plenty of flavour, while being convenient to eat, quick to ",indian
Indian chutney,"A delicious apple and sultana chutney flavoured with garlic, chillies, ginger and curry powder Tastes great with Christmas cold cuts",indian
Fennel pilau rice,A quick and tasty pilau rice recipe that makes a great accompaniment to your favourite curry dish,indian
"Pork curry, Coorg style","The ethnic way of preparing Pandi pork curry, the way grandmothers used to cook, without seasoning Nowadays the preparation has been changed slightly, but the traditional method is the best This Coorg curry is from ",indian
Indian masala chicken drumsticks,These make a lovely change for a summer barbecue party and can be marinated in advance Serve with lemon wedges and steamed basmati rice,indian
Tandoori Chicken Skewers,"These chicken skewers are always the belle of the barbecue They are well-spiced, tender and truly delicious Serve them as a starter, main course or side dish They're also perfect with naan bread and raita",indian
Curried lentils,Nourishing lentils are great value and very good for you The warm spices and rich coconut milk combine to create an intoxicatingly flavoured dish,indian
Chicken and mango curry,"I love Indian food, this recipe developed after falling in love with a dish at a small family owned Indian restaurant near my home After tweaking a few things, I think I have come up with a great copy-cat version The curry ",indian
Warm Winter Chickpeas,"A casserole of spicy chickpeas with a slight tang, perfect for winter get-togethers in front of a warm fire",indian
Slow cooker goat curry,"A wonderfully flavourful versatile spicy curry with Indian and Jamaican influences Goat or mutton is marinated overnight for depth of flavour, then slowly cooked for at least 5 hours to create truly irresistible ",indian
Warming spiced apple chutney,"An Indian spiced apple chutney to complement your Christmas dinner, sandwiches, wraps or tarts Enjoy",indian
So simple tandoori chicken,"Tandoori chicken, a perfect dinner when served with salad and rice The marinade is easy, using shop bought tandoori spice",indian
Chicken hariyali tikka,"Diced chicken rubbed with a paste made from blended coriander, mint, and other distinctive flavours Chicken legs may also be used This recipe is cooked under the grill, but works well on the barbecue too",indian
Coconut prawn curry,Jumbo prawns in a lightly spiced coconut curry sauce This prawn curry is fab served over nutty brown rice,indian
Bunjal Chicken,Steamed chicken in a garlic and tomato curry sauce flavoured with garam masala Traditionally eaten with rice or roti,indian
Palak paneer,This Indian dish combines fresh spinach and paneer in a creamy curry It is absolutely wonderful with basmati rice or naan,indian
Minced lamb and spinach curry,"I found this recipe when I was doing the Slimming World diet, but have since continued to use it about once every month All guests I have cooked it for have loved it and it is my partner's favourite dish",indian
Tandoori Barbecued Chicken,This is an adaptation of tandoori chicken using store-cupboard staples Marinate the chicken overnight for a deliciously flavourful and tender chicken dish,indian
Kashmiri garam masala,My friend gave me his recipe for Kashmiri garam masala I am more than happy to be able to share it with all of you I like to try different garam masala recipes and this one is tops This is the first one that I have ,indian
Chicken masala soup,"Chicken soup is often credited with being a panacea for all kinds of ills, and this version – with its warming Indian spices and vibrant colour – should perk up anyone Serve with wholemeal chapattis",indian
Najwa's Chicken Korma,"This is my mum's version of chicken Korma It can be prepared in less than hour Cinnamon sticks, whole cloves and cardamom seeds enhance the flavour of the oil in which the onions and chicken are cooked, and ",indian
Spinach dal (Palak dal),"This is a very yummy, authentic dal For variation, add coconut milk towards the end of cooking Freezes well",indian
Cucumber raita,"I like to serve this cool, refreshing raita with my Lamb Tagine, which you can find on this site Make the salad early in the day and keep in the refrigerator to let the flavours blend and intensify Add more mint to ",indian
Mixed vegetable biryani,"Here is a vegetarian one-pot feast of golden saffron-scented basmati rice combined with spiced vegetables Serve with mint raita, or a simple cucumber and mint salad",indian
Saag aloo side dish,"Sag aloo is a spinach and potato curry, here it is served as a side dish It is easy to prepare in advance and can be reheated",indian
Keema (minced lamb) curry,"A spiced, minced lamb dish Add as much fresh, chopped coriander as you like right at the end of cooking and stir through Delicious served with rice or chapati",indian
Simmi's tandoori chicken,"This is an authentic recipe for tandoori chicken Serve with long grain basmati rice, cucumber salad, veggies, roasted sweetcorn and finish off the meal with Kulfi (Indian ice cream)",indian
Spinach and cauliflower curry,"A flavourful vegan and vegetarian curry with fresh cauliflower and spinach, and lots of aromatic spices Enjoy with naan or rice",indian
Aloo keema curry,"Turn beef mince into something effortlessly delicious with this authentic keema curry recipe Easy to find Indian spices make this dish full of flavour, and the addition of potatoes and peas makes it a hearty curry ",indian
Slow cooker kashmiri lamb,This thick and creamy slow cooker kashmiri lamb curry has just the right balance of flavours and is ideal for a low hassle dinner party Serve over rice,indian
"Potato, egg and spinach curry","You don't need to be vegetarian to enjoy this dish Delicious, healthy and nutritious Serve with basmati rice and mango chutney",indian
Liver Bhuna,"For this Indian curry, I used chicken liver but you can use beef liver if you prefer It's easy to make and can be eaten with rice, bread or even toast",indian
Aromatic lamb and spinach curry,"Popularly called 'Saag Gosht' in Hindi (Indian language) This is a very fragrant dish with an aroma of freshness from mint leaves and spinach I enjoy cooking this dish for its flavour, colours and of course exuberant ",indian
Indian-style okra with potatoes,"This makes a wonderful accompaniment to a spicy main dish It is also good as a vegetarian main course for 2, especially when served with Indian-style pulse or lentil dishes and warm naan bread Also known ",indian
Bengali chicken curry,"An authentic and delicious chicken curry recipe that I had almost every day growing up If you don't have ginger-garlic paste, simply use half grated root ginger and half grated garlic Also, if you want a smoother ",indian
Spicy Bhindi (Okra),"A wonderfully spicy vegan Indian dish Asafoetida is used throughout India and South Asia, and available in Asian and Middle Eastern shops; it should be used sparingly",indian
Matty's chicken and mushroom curry,"A delicious sweet and spicy, authentic chicken and mushroom curry that's easy to make Serve with basmati rice",indian
Baked Indian fish,This fish curry recipe is inspired by my mother's Bengali fish recipe she used to make in India It is very aromatic and very spicy You can use your favourite fish for this recipe; cod works well,indian
"Keema with beef, pork and egg","Spicy Indian keema with beef and pork mince, spices, spinach and peas Serve with hard boiled eggs and naan bread or chapati",indian
Mutton mulligatawny soup,"I adore the combination of rich mutton meatiness and spicy curry in this dish It's a proper hearty winter warmer of a dish, and pretty much a meal in itself, as it is so thick and substantial This recipe uses leftover meat ",indian
