Title,Description
"Samosas","These stuffed savory pastries are a traditional Indian favorite. Lamb meat and spices are…"
"Chicken Vindaloo","This spicy potato and chicken dish can be adapted to use any meat you wish."
"Exotic Brinjal (Spicy Eggplant)","Eggplant cubes are browned, then simmered with onions in a sauce fragrant with Indian…"
"Okra Curry","Sliced okra rounds are seasoned with cumin and curry powder in this quick and easy dry curry…"
"Chicken Korma","Prepare this flavorful Indian curry in less than hour! Serve with rice or naan."
"Whole Wheat Chapati","Similar to a wheat pita, it is bread made of whole wheat flour. I make it for my diabetic…"
"Sweet Tamarind Chutney","This is an East Indian sweet tamarind chutney."
"Masala-Spiced Roast Chicken","Garam masala and lime give an Indian flavor to this simple roast chicken."
"Quick Nariyal Burfi (Indian Coconut Fudge)","This traditional, cardamom-flavored Indian sweet may now be made in under 15 minutes!"
"Indian Sweet Potato and Lentil Soup","Lentils, sweet potatoes, onions, and spinach are simmered with aromatic Indian-inspired…"
"Indian Chole Aloo Tikki","This is a delicious vegan Indian recipe where vegetables and chickpeas are served over…"
"Indian Pork Chops","This is a great weeknight dinner entree - quick and easy with only five ingredients and…"
"Aloo Gobi ki Subzi (Potatoes and Cauliflower)","This is a simple and easy to toss together recipe using cauliflower. Serve this dish with Indian…"
"Slow Cooker Chai","Spicy, creamy, and sweet chai tea is easy to make with the help of your slow cooker."
"Indian Hot Curried Mangos with Tofu","Mango slices and tofu cubes are simmered together in curry-seasoned coconut milk. If…"
"Easy Baked Indian Samosas","Baked samosas made with pie crust and seasoned potatoes and peas are an easy…"
"Spinach and Cauliflower Bhaji","Cauliflower and spinach are simmered in a curry-flavored tomato broth for a warm and…"
"Restaurant Style Mango Lassi","This mango lassi uses canned mangos to create a smoother, tastier drink."
"Carrot Recipe","Shredded carrots are cooked with sugar, raisins and cashews. This is a healthy dessert recipe…"
"Pineapple, Lime, and Ginger Soup","Ground cumin, chile peppers and ginger are stirred into a hot mixture of tomatoes,…"
"Indian Spiced Rice Treats","This is a variation on the traditional crispy rice cereal treat with an international twist!…"
"Curried Pork Chops and Cauliflower with Basmati Rice","Lean pork chops and tender cauliflower florets in a creamy and lightly sweet curry sauce are…"
"Creamy Cashew Chicken Curry","After marinating in a curry rub, chicken thighs are simmered with aromatics and homemade…"
"Simple Spiced Rice","Simple basmati rice, with its subtle, flowery fragrance, cooks up light and fluffy with…"
"Easy Indian Curried Lamb","Tender lamb meat is simmered in an Indian-inspired curry sauce for a delicious and…"
"Chef John's Tandoori Chicken","In this simple recipe, chicken is marinated in yogurt and tandoori masala, then grilled over…"
"Chana Masala (Chickpeas and Tomatoes)","Chana masala, an Indian-inspired dish, contains chickpeas and tomatoes simmered in a nicely…"
"Chicken Chicken Curry","Tender morsels of chicken breast are simmered in a fragrant combination of Bengali flavors…"
"Gujarati Carrot and Peanut Salad","A refreshing Indian salad that is the perfect complement to a curry meal. The peanuts add…"
"Jeera (Cumin) Rice","Cumin seeds are fun to cook with, they come alive when you drop them in hot oil, and they…"
"Jeera Fried Rice","Indian fried rice made with long-grain rice, cumin, black peppercorns, and onions."
"Indian Barbeque Chicken","Marinate the chicken overnight for a deliciously flavorful and tender chicken dish. This is an…"
"Indian Peas And Cauliflower","A simple, flavorful Indian-style dish! Peas and cauliflower are sauteed with cumin and…"
"Garam Masala Spice Blend","Garam masala is a spicy blend of aromatic spices and chiles from northern India. Make it…"
"Blue Ribbon Curry Chicken","This creamy curry is sweetened up with bits of apple. Serve it over a bed of steamy rice, and…"
"Easy Palak Paneer","Spinach is mixed with curry, garam masala, fresh ginger, and paneer cheese in this…"
"Naan-like Easy Flatbread","Make these from-scratch flatbreads without yeast using this quick and easy recipe the next…"
"Indian Rice Pilaf","Indian-inspired rice is nicely spiced with curry powder, cinnamon, and garlic powder for a…"
"Lamb (Gosht) Biryani","This Indian lamb and rice dish is a delicious meal for dinner parties."
"Coconut Curried Tofu with Green Beans and Coconut Rice","This is the no-fuss curry recipe for 'quick and easy' cooks out there. The rice is simple yet…"
"Traditional Chicken Curry","A traditional North Indian (Punjabi) curry dish. An aromatic and spicy combination of chicken…"
"Indian Spiced Rice","This rice is delicious and full of surprises -raisins, lentils, bell peppers, peas and potatoes -…"
"Curried Microwaved Chicken","Apple imparts a sweet complexity to this curried mushroom cream sauce, quickly prepared…"
"Coconut Curry Cabbage","Cabbage is simmered with coconut milk and curry, making a wonderful side dish to serve…"
"Cucumber-Cilantro Raita (Yogurt)","This quick and tasty Indian yogurt side dish is accented with green chile pepper, cilantro,…"
"Chicken Saagwala","Simple, fragrant, Indian-inspired chicken simmers in a light sauce made flavorful with…"
"Chai Tea Latte","Make a homemade version of a chai tea latte with boiling water, milk, sugar, honey, and a…"
"Lamb Shank Vindaloo","Lamb shanks are slow cooked with garam masala, ginger, paprika, cayenne, onions, and…"
"Indian Rice (Pulao)","Saffron threads lend a deep, golden color to this spice infused, Indian rice dish."
"Indian-Style Butter Chicken (Murgh Makhani)","Red chiles, cinnamon, nutmeg, cloves, ginger, and garlic all lend their robust flavors to this…"
"Bangan ka Bhurta (Indian Eggplant)","This is a very simple, quick and more importantly authentic Indian side dish of…"
"Pav Bhaji","This is a very popular recipe in India, liked by almost everyone. You may have to go to a…"
"Easy Vegetable Biryani","Basmati rice is lightly fried with cumin, cloves and onion, then simmered with garam…"
"Turmeric Milk","Fresh turmeric and fresh ginger give this warm turmeric milk, made with almond milk, a…"
"Indian Butter Chicken (Chicken Makhani)","Chicken is simmered in a smooth and fragrant tomato-based sauce with cashews and Indian…"
"Curried Peas","First you saute onion with cinnamon and cumin. A very happy beginning. Then you stir in…"
"Paneer (Home Made)","Paneer is an essential ingrediant in Indian cooking. Often people substitue riccotta or…"
"Rogan Josh, Lamb Shanks","Rogan Josh is an aromatic lamb dish that originates in Northern India. In this variation,…"
"Maharani Cupcakes","These coconut cupcakes with curry lemon curd and a sweet basil cream topping are regal…"
"Sweet Lamb Curry","A mild, fragrant mix of lamb, raisins, and apples produces a wonderful, slow cooked curry."
"Curried Corn","A unique and delicious way to serve corn!"
"Mini Sweet Potato Samosas","These attractive little samosas of curried sweet potatoes make a nice appetizer or cocktail…"
"Peanut Rice","Fragrant basmati rice is cooked with peanuts, green peas, and a little turmeric."
"Spiced Eggplant Indian Style","This simple recipe combines the traditional Indian flavors of eggplant, tomatoes, onions…"
"Best Potatoes Ever!","Everyone will enjoy these delicious potatoes cooked up with Indian spices."
"Carrot and Cilantro Soup","This easy carrot and coriander soup is lovely and creamy, with a bit of a twang. It's an ideal…"
"Cilantro Garlic Chicken","Chicken thighs and drumsticks simmer in a creamy yogurt sauce flavored with lots of…"
"Curried Lamb","Lamb is seasoned with a homemade curry mixture of coriander, cumin, cardamom, and…"
"Bhindi Masala (Spicy Okra Curry)","This is a spicy curry dish with okra, tomatoes, and onion."
"Quorn(TM) and Chickpea Curry","Vegetarian curry recipe made with chickpeas and Quorn(R), and seasoned with a…"
"Four Seasons Chicken Curry","A hot, sweet, sour and fragrant explosion of taste on a plate. The longer you leave to…"
"Broken Thermostat Curry","This flavorful, vegetarian curry is made with carrot, yam, red potatoes, tomatoes, and…"
"Spicy Baked Cod Fillets","Cod fillets are marinated in a blend of yogurt and spices then oven baked. This is a rich…"
"Fruited Tofu Curry Salad","A vegetarian tofu salad that's just loaded with flavor! Cubed tofu tossed with rice, grapes,…"
"Paneer Butter Masala","Lightly fried paneer simmers in a thick tomato sauce spiced with cumin, coriander, red chile…"
"Bombay Chicken Wings","Chicken wings with a light curry flavor will make a nice snack, appetizer, or game-day treat."
"Tofu Masala","This flavorful blend of spices, vegetables, and tofu is great served over basmati rice."
"Seared Salmon with Indian-Inspired Cream Sauce","A creamy stovetop sauce accented with curry and saffron and made from chopped fresh…"
"Indian Lassi","Here is a basic recipe for Indian Lassi (yogurt drink). You can add more or less yogurt or…"
"Mango Lassi I","A cooling drink made with mango and yogurt, Eastern Indian Lassi."
"Kedgeree","A delicious traditional English breakfast dish using smoked white fish, rice and eggs. It is…"
"Masala Chai","This chai tea is hot, spicy, and has a hint of the exotic...gotta love it!"
"Masur Dahl","This is a delicious Indian lentil soup with spicy red onions!"
"Authentic South Indian Biryani","The deep flavors and piquant aromas of southern Indian cooking come to life in this…"
"Quinoa Biryani","Quinoa replaces basmati rice in this fragrant take on a traditional Indian side dish."
"Indian Pot Roast","An extremely flavorful roast with very aromatic gravy. You can add cubed potatoes and peas…"
"Samosadilla (Samosa Quesadilla)","You can't mess up a samosa quesadilla, Chef John's easier, tortilla-wrapped alternative to…"
"Easy Instant Pot(R) Chicken Tikka Masala","This absolutely irresistible chicken tikka masala made in the Instant Pot(R) - with all the…"
"Spinach and Tomato Dal (Indian Lentil Soup)","This basic dal (Indian lentil soup) recipe makes a hearty and healthy dish that leaves you…"
"Naan Bread Margherita Pizza with Prosciutto","Substitute naan bread for pizza dough and top with mozzarella cheese, tomatoes, and…"
"Black Pepper Goat Curry","Black peppercorns, coriander, and cayenne lend a distinct flavor to this South Indian goat curry."
"Indian-Style Salmon Fry","Canned salmon is pan-fried with onions, tomatoes, and spices to make a quick,…"
"Basic Indian Curry with Paneer","This is a wonderful Indian curry made with paneer cheese and frozen peas."
"Reshmi Kebab (Silken Kebabs)","This is a traditional Muglai dish prepared in India. It gets its name from the succulence of…"
"Quick and Easy Indian-Style Okra","Exciting Indian spices bring a warm, exotic flavor to fried okra."
"Masala Beef with Ginger and Curry Leaf","Cubed beef is simmered in a spicy liquid until nearly dry, then combined with an onion…"
"Indian Chai Hot Chocolate","Put yourself in a holiday mood with this merry drink blending spiced chai tea with hot…"
"Besan (Gram Flour) Halwa","If you like the flavor of chickpea flour (besan) in sweets, you will love this halwa. Your kids may…"
"Aloo Gobhi","Try this version of a classic vegetarian Indian stir-fry dish featuring cauliflower and potatoes."
"Kale and Spinach Saag","Fresh spinach and kale are cooked with ginger, garlic, and spices, then simmered with milk…"
"Vegan Indian Curry with Cauliflower and Lentils","Coconut milk, cauliflower, red lentils, and green beans are the main ingredients of this vegan…"
"Hot and Spicy Himalayan Tea (Chai Tea)","Milk, tea leaves, cardamom, cinnamon stick, peppercorns, and cloves are simmered…"
"Cauliflower Rice (Biryani-Style)","Cauliflower rice is seasoned with garam masala, turmeric, cumin, and coriander in this…"
"Vendakka Paalu","This spicy, creamy, and vegan-friendly okra curry dish is very simple to make and will…"
"Turkey Curry","A great use for leftover Thanksgiving turkey. Serve with warm naan bread or atop steamed…"
"Tandoori Chicken I","Yogurt and lemon mix with tandoori spice--a blend including cumin, ginger, turmeric and…"
"Curried Stew with Lamb","Lamb is marinated in yogurt and garlic overnight, then slowly stewed with curry…"
"Spiced Naan","This Indian stuffed naan bread has a wonderful, spicy filling and is surprisingly easy to make."
"Curried Beef with Winter Vegetables","A medley of winter vegetables--parsnips, carrots, potatoes, celery, garlic and…"
"Indian Salad","This is a very tasty brown rice recipe salad made with asparagus, apples, raisins, and a curry…"
"Biriyani","One of the most well-known Indian-Pakistani dishes made. A spicy chicken and rice dish."
"Punjabi Sukha Urad Dal","Try this warm, thick, and comforting dish with split black lentils to warm yourself on a cold…"
"Ras Malai","This version of a popular Indian dessert consists of cheese dumplings in a cream sauce topped…"
"Easy Curry Rice","This rice side dish recipe utilizes a rice cooker."
"Turnip with Coconut","Turnips and turnip greens are cooked with onion and mustard seeds and finished with…"
"Goan Pork Vindaloo","This traditional Goan pork dish flavored with chilies, garlic and vinegar is spicy and tangy…"
"Grilled \"Tandoori\" Lamb","Yogurt, lemon, and spices combine to make a rich and creamy marinade that coats Chef…"
"Tandoori Masala Spice Mix","Homemade tandoori masala spice mix, a staple for Indian butter chicken, is easy to make at…"
"Indian Chicken Tikka Masala","Chicken breasts, garlic, ginger, yogurt, tomatoes, and curry paste come together…"
"Seitan Makhani (Vegan-Style Indian Butter Chicken)","Seitan is a meat substitute made from wheat protein (gluten). It makes a terrific substitute…"
"Mango Lassi-Come-Home","Pureed mango and mango nectar are blended with lemon yogurt, vanilla yogurt, milk, and…"
"Fried Curry Chicken","Chicken strips are coated in a creamy, spicy yogurt sauce, dipped in bread crumbs, and…"
"Spicy Yogurt Dressing","Delicious, creamy dressing with just a bit of spice."
"Spicy Indian Chicken with Green Masala","Chicken drumsticks are simmered in a home made green masala packed with fresh cilantro."
"Spinach and Buttermilk Soup","This tangy curried spinach soup gets a spicy kick from serrano chiles and cumin seeds, with a…"
"Coconut Sevai (Rice Noodles)","This is one of my favorite easy-to-make Indian recipes. Although I try to make it the best as I…"
"Cilantro Chutney Chicken","A garlic and ginger rub sets the stage for a spicy, homemade cilantro chutney to serve over…"
"Chicken Curry V","This is the Malaysian version of Indian chicken curry, which uses coconut milk. It can be…"
"Spicy Swordfish","Swordfish chunks are simmered in a mango and coconut mixture. Serve over rice."
"Spicy Tomato Chutney","Spicy and sweet - ginger, garlic, chili powder, and curry paste are just a few of the flavors in…"
"Chai Tea","This exotic tea uses cardamom, cinnamon and pepper for flavor."
"Quick Vegetable Curry","A bountiful medley of beans and vegetables. This easy curry can be made in minutes.…"
"Fettuccine Bombay","Italy meets India in this delicious variation on the usual tomato sauce."
"East Indian Chicken with Tomato, Peas, and Cilantro","East Indian curried chicken simmered in a spiced tomato sauce is a flavorful one-pan…"
"Lamb Korma","Lamb is simmered in a coconut milk curry sauce with potatoes and chickpeas in this tasty…"
"Biryani with Yogurt Marinated Chicken","Chicken marinated in yogurt and rice scented with saffron, cardamom, cinnamon, and…"
"Chicken Cauliflower Korma","A mild, creamy chicken cauliflower curry is loaded with both vegetables and flavor in this…"
"Paneer Tikka Masala","Paneer floats in a perfectly seasoned, creamy sauce in this traditional Indian recipe for…"
"Vegan Sweet Potato Chickpea Curry","This delicious vegan curry dish with sweet potatoes, chickpeas, spinach, and coconut…"
"Chicken Navratan Curry (Indian)","Chicken and vegetables are simmered in spiced coconut milk for an aromatic and flavorful…"
"Pixie's Indian Style Halibut","Mild and delicious halibut fillets are rubbed in Indian inspired spices and quickly pan fried."
"Baked Chicken Curry Flavor-Fest","This chicken is spicy, tangy, and juicy, but with no added fat. It's easy to make in large…"
"Curried Hash Browns","This recipe fuses an American breakfast favorite-hash browns-with some South Asian flavors…"
"Green Pea Poulourie","Indian-spiced, vegetarian green pea balls are deep fried and served either as a main dish, or…"
"Curry Sauce","This sauce base for curry is made with onions, tomatoes, turmeric, cumin, garam masala,…"
"Best Burgers Ever","I made up this mixture on a whim and wow! These are definitely the best hamburgers I've…"
"Spicy Dry Fried Curry Chicken","This recipe is from North India where my mother was born. She gave me the recipe when I was…"
"Chocolate Chai","Spicy cinnamon chai tea with chocolate is a great warm drink for those cold winter nights!"
"Dairy-Free Cauliflower Fritters","Battered and fried cauliflower is a delicious way to eat cauliflower, and a great snack! These…"
"Chicken Fry","Hotly spiced, this golden Indian chicken saute is ready to serve in minutes."
"Mulligatawny Soup III","If you like a less spicy Mulligatawny, this recipe is for you. You will need to have five cups of…"
"Indian Matar Paneer (Cottage Cheese and Peas)","Learn how to make your own paneer (Indian cheese) in this recipe for stir fried vegetables…"
"Pumpkin, Butter Bean, and Spinach Curry","The whole family will love this mild and creamy vegetarian curry. It's easy to make too!"
"South Indian Chickpea Salad","Garbanzo beans, mango, romaine lettuce, pineapple, cucumber, celery, and carrots are…"
"Mango-Mint Lassi with Indian Sweet Spices","Mint and mango are joined by star anise and cardamom in this refreshing Indian yogurt…"
"Batata Nu Shak (Potato Curry)","This spicy potato dish is delicious served with rice."
"Paneer Makhani","A richly fragrant sauce made with spices, cream, and tomato is served with Indian paneer…"
"Indian Sabji Recipe","Cabbage and potatoes are flavored with an array of aromatic Indian spices for a…"
"Indian Chicken Rub","Indian-inspired spices are combined to create a flavorful and aromatic spice rub for chicken."
"Prawn Malai Curry","This creamy curry dish combines prawns with coconut milk, onion, ginger and garlic pastes,…"
"Kheema Matar (Beef and Pea Curry)","Ground beef and green peas are simmered together in this easy Kheema Matar curry full…"
"Red Split Lentils (Masoor Dal)","These Indian-inspired red lentils (masoor dal) flavored with cumin, turmeric, and ginger can…"
"Egg Curry","Make this aromatic, quick and easy curry with hard-boiled eggs the next time you're craving…"
"Chai Tea Concentrate","Homemade chia tea concentrate is simple to prepare using a variety of spices steeped with…"
"Chennai Chicken Wings","Spicy, piquant flavors intensify with every bite of Chef John's baked Chennai chicken wings,…"
"Bombay Potatoes","A yummy Indian side dish, Bombay potatoes are vegan, super simple to make, and family…"
"Layered Chutney Dip","Curry cream cheese is topped with chutney, cashews, coconut, and green onions for a…"
"Quick Whole Wheat Chapati","Fresh whole wheat chapati is quick, easy, and delicious; perfect with butter, as an…"
"Bangaladumpa (Potato) Upma Koora","This potato curry is seasoned with green chile peppers, dried red chile peppers, fresh curry…"
"Paneer Jalfrazie","This Indian dish features fried cubes of Paneer, a southeastern Asian cheese, in a mixture of…"
"Dosas (Indian-style Pancakes)","A blend of spices flavor this adaptation of traditional South Indian dosas, a thin,…"
"Mango Coconut Sauce","Fresh mango puree forms the base of a luxurious tropical sauce flavored with coconut…"
"Sugar-Free Cardamom-Mango Smoothie","This Indian-inspired smoothie is creamy like a milkshake, sweet, smooth, and doesn't use…"
"Vegetable Koftas","These fried potato and vegetable balls are an Indian specialty served on special occasions. …"
"Lasooni Murgh (Garlic Flavored Spicy Chicken)","Chicken is marinated overnight in spiced yogurt, then cooked together with cumin and cream…"
"Indian-Inspired Egg Salad","Unexpected Indian flavorings take this favorite to an appealing new place. Eat with pita…"
"Carrot-Bean Sprouts Salad","Carrots and bean sprouts are tossed with fresh coconut, cilantro, and a simple dressing made…"
"Spicy Chicken in Tomato-Coconut Sauce","This chicken dish is served over rice, and explodes with the flavors of India!"
"Grilled Indian Chicken","This is an Indian dish. If it is marinated for as long as 2 to 3 hours it will be tastier."
"Sambar","Lightly spiced lentils in a tamarind and coconut sauce, tempered with Indian spices. Serve hot…"
"Keerti's Karwari Prawns","A prawn preparation made with coconut. Typical to the coastal areas of Karwar in…"
"Chaat - Dahi Batata Puri","Fragrant and aromatic and delicious, as all Indian cooking seems to be. Spiced yogurt…"
"Yogurt Samosas","Cilantro and yogurt give these samosas the Indian flavor. This is an amazing recipe that…"
"Marian's Pumpkin Soup","This fresh pumpkin soup seems straightforward since it's made with the standards-- fresh…"
"Sooji Upma","This semolina-based dish features onion, tomatoes, and chile peppers."
"Rose Ice Cream","Rose syrup, saffron, cardamom, and pistachios turn a plain carton of vanilla ice cream into an…"
"Spicy Shrimp (Chingri Maach)","This Bengali spicy shrimp curry can be made with a variable amount of spice, and goes…"
"Spicy Tomato Soup","Warm up your menu with this spicy Indian-inspired curried tomato soup."
"South Indian Lentil Kootu","This south Indian dish of lentils and pigeon peas is quick, and easy on the stomach."
"Prawns in Cashew Coconut Curry Sauce","This is a very mellow tasting dish that has a rich creamy taste of the coconut sauce with the…"
"Prawn Biryani","This spicy rice dish cooked in mouth-watering prawn curry is extremely easy to make in a…"
"Spicy Banana Curry","This recipe finds its harmony in the way the bold, bursting flavor of curry interacts with…"
"Masale Aaloo (Spice Potatoes)","Cubed potatoes are cooked with cumin, coriander, and green mango powder in this…"
"Easy Meat Samosas","These baked Indian-style samosas are filled with a curry-seasoned mixture of ground beef,…"
"Kebab Massalam","Ground lamb is mixed with turmeric, green chili peppers, and coriander seeds, then formed…"
"Minty Cucumber Raita","A simple tangy yogurt and cucumber sauce makes a cooling accompaniment to your spicy…"
"Indian Lentils and Spinach","Indian lentils with spinach are nicely spiced with cardamom, cinnamon, ginger, and cinnamon…"
"Makhani Daal (Buttery Lentils)","A spiced onion-tomato mixture is folded into pressure-cooked black lentils, chickpeas, and…"
"Instant Pot(R) Indian Butter Chicken","This deeply flavored Indian butter chicken, originally created by a Pakistani food cart…"
"Tomato Cucumber Kachumbar","This Indian salad called kachumbar is a mix of cucumber, tomato, lemon juice, and fresh…"
"Spicy Lentil Quinoa Curry","This flavorful vegetarian Indian curry is made with vegetables, lentils, quinoa, and lots of…"
"Delicious and Fast Chicken Curry","Curry-coated chicken pieces are simmered in coconut milk with onion, garlic, spinach, and…"
"Jonagold's Chicken Vindaloo","Chicken drumsticks are simmered in a spicy onion sauce in this popular dish from Goa."
"Grilled Lamb Chops with Curry, Apple and Raisin Sauce","Grilled lamb chops, all rosy-pink inside, are served up with a spiced apple-curry-raisin…"
"Heinz(R) Butter Chicken","In this classic Indian-inspired recipe, tender chunks of chicken simmer in a creamy, tangy…"
"Chicken Salad with Mango Chutney","Chicken salad with an Indian-inspired twist of mango chutney and curry powder is quick…"
"Palak Paneer (Indian Spinach and Paneer)","Cubes of paneer simmer in a smooth spinach puree, fragrant with cumin seeds, ground…"
"Indian Samosa Pie","This recipe uses the flavors of a samosa and the idea of a pot pie to make a savory,…"
"Indian-Style Chicken and Onions","This chicken curry is seasoned with just the right amount of spices for a warm and flavorful…"
"Cilantro Chutney","Green chile peppers, ginger, and cumin flavor this fresh cilantro condiment."
"Kheema Malai Kofta","This tasty party dish can be made with ground lamb or beef."
"Moong Dal with Spinach","Lentils and spinach deliver a warm and tasty comfort dish."
"Mild Curry Omelet","This delicious Indian-inspired omelet will certainly awaken your groggy tastebuds!"
"Carrot Soup Indienne I","Carrots and featured in this creamy curried vegetable soup which is pureed and then…"
