Title,Description
"Albondigas","This is a quick and easy recipe that tastes delicious. Carrots and potatoes, with salsa…"
"Jimmy's Mexican Pizza","Jimmy's specially seasoned ground beef, refried beans, salsa, and cheese layered between two…"
"Authentic Enchiladas Verdes","These enchiladas are made with a fresh green salsa, just like you would find in a Mexican…"
"Gerry's Chicken Enchiladas","These enchiladas are filled with chicken first simmered in tomatoes, chile peppers, and…"
"Restaurant Style Chicken Nachos","Tortilla chips are topped with a chicken and salsa mixture, melted cheese and tomato.…"
"Mexican Lasagna","My whole family loves this beefy lasagna flavored with taco seasoning. Even my picky…"
"Tomatillo Salsa Verde","This authentic Mexican salsa verde has a fabulous flavor. Use it on chicken enchiladas…"
"Cilantro-Lime Dressing","Fresh lime juice, cilantro, honey, and olive oil are the main components of this cilantro-lime…"
"Mexican Beef Casserole","Like a giant baked taco! Ground beef with Ranch Style beans and tomatoes on top of corn…"
"Hot Tamale Pie","Chef John's ground beef and cornbread casserole gives you delicious tamale flavors in…"
"Taco Lasagna","A baked taco-style lasagna with layers of corn tortillas, salsa, seasoned ground beef and…"
"Seafood Enchiladas","These crab and shrimp stuffed enchiladas taste like the ones served at a popular Mexican…"
"Chicken Flautas","Lightly crisped corn tortillas are stuffed with a zesty chicken and cheese filling."
"Mexican Style Shredded Pork","This is an amazing shredded pork recipe. It is easy to prepare and simmers in a slow cooker…"
"Hot Mexican Spinach Dip","Take your taste buds on a wild joyride to old Mexico with this hot, creamy dip. Spinach,…"
"Lisa's Favorite Carne Asada Marinade","I've tried many marinade recipes for carne asada and this spicy, citrusy version is our…"
"Pico de Gallo","This fresh tomato salsa is made with red onion, minced jalapeno, lime juice, and seasonings.…"
"Dee's Roast Pork for Tacos","This is a dish that will make your tongue jump out of your mouth, slap you in the face, and…"
"Pico De Gallo","Pico de gallo, made with fresh tomato, onion, and jalapeno, is perfect for serving with your…"
"Enchilada Casserole III","This is a layered casserole with ground beef, corn tortillas, enchilada sauce and refried…"
"Lola's Horchata","A refreshing Mexican drink made with rice, milk, vanilla, and cinnamon. A great balance for…"
"Taco Salad I","Put a twist on conventional taco salad recipe with this quick version using French dressing."
"Baked Tortilla Chips","Cumin and lime juice add a real zing to these chips, and they're best when served warm."
"Chicken Enchilada Soup III","Shredded chicken is simmered with masa harina, enchilada sauce and Cheddar cheese…"
"Chicken Suiza Cornbread Bake","In this lightly spiced Mexican-inspired casserole, a layer of cornbread is baked with diced…"
"Farmer's Market Vegetarian Quesadillas","Making the most of simple, fresh ingredients found at your local Farmer's Market, these…"
"Shredded Beef Enchiladas","Corn tortillas filled with shredded beef, sour cream, onion, green chilies, then covered with…"
"Vegetarian Mexican Inspired Stuffed Peppers","Green bell peppers are stuffed with rice, chili-style tomatoes, and Mexican cheese blend,…"
"Pork Carnitas","Many find carnitas a little dry or flavorless. These have a great, distinctive flavor and are…"
"Campbell's(R) Easy Chicken and Cheese Enchiladas","A creamy filling of chicken, sour cream, and cheese gets an added \"kick\" stirred into it…"
"Black Bean Salad","This salad is a kaleidoscope of color and taste - black beans, yellow corn, green peppers, and…"
"\"Pantry Raid\" Chicken Enchilada Casserole","With some chicken, a box of corn bread mix, and a few pantry items, you can whip up a tasty…"
"Heather's Cilantro, Black Bean, and Corn Salsa","This lively summer recipe can be served with tortilla chips as an appetizer, or with chicken…"
"Fish Tacos with Honey-Cumin Cilantro Slaw and Chipotle Mayo","What's not to like about flavorful tacos stuffed with breaded, fried tilapia topped with…"
"Authentic Mexican Tortillas","I learned how to make these growing up watching my mother Alma. We have never…"
"Stuffed Mexican Peppers","Mexican-inspired ground beef and rice stuffing fills red or green bell peppers for a…"
"Empanadas","Better make plenty - these disappear fast. The unbaked dough may be frozen. The baked…"
"Homemade Taco Seasoning Mix","Taco seasoning mix is easy to make at home with the right spices, such as chili powder,…"
"Mexican Shepherd's Pie","This is a Mexican version of the Shepherd's Pie that is so popular in the UK. I decided to try…"
"Bean Quesadillas","Veggies, beans, and cheese sandwiched between two tortillas then heated in oil until…"
"Enchiladas","A friend of mine gave me this recipe for ground beef enchiladas and it is delicious!"
"Terry's Texas Pinto Beans","An old fashioned 'pot of beans' recipe. It starts with dry pinto beans, onion, and chicken…"
"Jalapeno Cream Cheese Chicken Enchiladas","Your family will love this dish of creamy chicken breast meat and green chili enchiladas baked…"
"Vegan Bean Taco Filling","Black beans mingle with onions, peppers, garlic, cornmeal, and spices in this tasty taco filling.…"
"Ronaldo's Beef Carnitas","Chuck roast is wrapped in foil with Mexican-style seasonings, and cooked at low temperature…"
"Taco Dip I","This is a scrumptious taco dip. When I use all low-fat ingredients, such as low-fat sour…"
"Margarita Cake","A margarita - tequila, lime juice, triple sec - is baked into a cake mix."
"Mexican Cream Cheese Rollups","These south-of-the-border hors d'oeuvres -- with a cream cheese base -- are rolled up in…"
"Chicken Tortilla Soup II","Chopped corn tortillas are cooked into this chicken soup along with garlic, onions, cumin…"
"Chicken Tortilla Soup III","The base for this chicken stew with Mexican seasonings is made by combining chicken…"
"Chicken with Chipotle","Chicken legs are roasted, then simmered in a spicy, chipotle cream sauce for a true Mexican…"
"Spinach Enchiladas Verde","Spinach and Monterey Jack cheese are wrapped in corn tortillas and baked with green salsa.…"
"One Skillet Mexican Quinoa","Kids and adults love this recipe for one-skillet Mexican quinoa; perfect for Cinco de Mayo but…"
"Mexican Shrimp Cocktail","Cooked shrimp are chilled in a spicy tomato-juice cocktail with avocado, red onion, and…"
"Acapulco Chicken","A spicy saute of chicken breast, tomato, onion, bell pepper, jalapenos and hot pepper sauce!"
"Seven Layer Dip II","My mom's Seven Layer Dip is a big hit at all small gatherings! Refried beans are layered…"
"Apple Enchiladas","Flour tortillas filled with apple pie filling and smothered in a simple syrup are baked until…"
"Chicken Chimi in the Oven","A fragrant, spicy chicken mixture is rolled up in flour tortillas and baked. This is my absolute…"
"Pork Chalupas","A simple slow cooker meal! Pork roast is cooked all day with pinto beans in a seasoned sauce…"
"Chicken Fajita Melts","These cheesy chicken sandwich melts have all of the flavor of fajitas without the drippy mess!"
"Hamburger Casserole","Taco sauce and taco seasoning mix give Mexican flavor to this beef and noodle casserole in…"
"Mexican Corn","Corn simmered with cream cheese, butter, jalapeno peppers and garlic."
"Chicken Enchiladas with Creamy Green Chile Sauce","Chicken- and cheese-stuffed corn tortillas baked under a creamy sauce infused with hot green…"
"Chicken Enchilada Slow Cooker Soup","Chicken breasts cook up tender and flavorful when slow-cooked in this enchilada-inspired…"
"Tres Leches Cake","The three milks in this Mexican favorite soak into the sponge cake, making it creamy and…"
"Mexican Whole Wheat Flour Tortillas","Mexican tortillas perfect for fajitas, quesadillas, Mexican pizzas, burritos, nachos. They freeze…"
"Margarita Grilled Shrimp","The shrimp can be marinated up to 3 hours before grilling. The amount of red pepper…"
"Chipotle Shrimp Tacos","Warm corn tortillas filled with spicy chipotle shrimp and garnished with cilantro, onion,…"
"Best Beef Enchiladas","These easy enchiladas are stuffed with a savory filling of ground beef, Cheddar cheese, black…"
"Mexican Corn on the Cob (Elote)","As served by street vendors in Mexico. Grilled ears of fresh corn are spread with mayonnaise…"
"Simple Sweet and Spicy Chicken Wraps","A flour tortilla is filled with sweet, spicy chicken simmered in salsa, and rolled with a…"
"Easy Chicken Fajita Soup","Fire roasted tomatoes, fajita seasoning, and seasoned black beans give this quick and…"
"Taco Bake I","Browned ground beef mixed with dried taco seasoning is layered in a casserole with…"
"Texas Chicken Quesadillas","These are quesadillas filled with chicken cooked in barbeque sauce, caramelized onions,…"
"Polvorones de Canele (Cinnamon Cookies)","Polvorones de Canele (cinnamon cookies) are a Mexican-style cookie rolled in cinnamon sugar."
"15-Minute Dinner Nachos Supreme","Taco-seasoned ground beef simmered with tomato and rice is topped with salsa, cheese…"
"Sweet Corn Tomalito","Steamed corn pudding made on the stovetop. This is a traditional Tex-Mex side dish that is a…"
"Mexican Sour Cream Rice","Baked rice with cheese, diced chiles, cilantro, corn, and sour cream. Would be great served…"
"Mild Cheesy Chicken Enchiladas","Sour cream and Cheddar set a smooth tone for these basic enchiladas baked with tomatoes."
"Avocado Salad","Fresh avocados tossed with sweet onion, green pepper, tomato, cilantro and lime juice."
"Chicken Tacos","This recipe is quick and easy - good for those nights you don't have a lot of time to prepare…"
"Mexican Quesadilla Casserole","Quesadillas and casseroles meet in this fairly easy recipe for feeding many mouths hungry…"
"Southwestern-Flavored Ground Beef or Turkey for Tacos & Salad","With Southwestern-Flavored Ground Beef, you can simultaneously make tonight's dinner…"
"Carnitas - Pressure Cooker","Pork butt is pressure-cooked to tender shreds with onion, garlic, orange, and a blend of…"
"Slow Cooker Chile Verde","Chile Verde the easy way. A delightful blend of Mexican favorites without all of the hard work."
"Mexican Wedding Cookies","Delicious nutty cookies that are rolled in powdered sugar. These are perfect for any…"
"Spicy Tortilla Roll-Ups","This vegetarian special gets its bite from canned green chiles and hot pepper sauce; cream…"
"Enchilada Sauce","Onion and garlic are sauteed with cumin, cinnamon and chili powder, then simmered…"
"Shredded Chicken Tacos","Bone and skin are left on the chicken breasts so they're extra flavorful as they simmer in…"
"Caldo de Res (Mexican Beef Soup)","This is an extremely hearty and satisfying soup, made from scratch with beef bones, cabbage,…"
"Sopapilla Cheesecake","This is a quick, easy, and tasty dessert. A rich and creamy filling surrounded by a crispy…"
"Margaritas on the Rocks","Sweet and sour, tequila, triple sec and Grand Marnier With a squeeze of fresh lime juice.…"
"Tortillas I","This Mexican flatbread can be filled with almost any savory concoction. You can make them…"
"Poblano Chile Enchiladas a la Gringa","Freshly roasted poblano chiles and sour cream create a piquant sauce bathing these chicken…"
"Hot Corn Dip","Colorful and spicy, this creamy tortilla chip dip is a blend of corn, tomatoes and spices."
"Sue's Taco Salad","This is a great dish for pot-lucks. It's easy, and can be made in advance. Add dressing just…"
"Mexican Pasta","Pasta tossed with a quickly cooked sauce of tomatoes, onion, bell pepper, corn, black…"
"Shredded Beef Chimichangas","Usually deep fried, chimichangas can also be oven-fried with less mess, fuss, and fat. Use…"
"Brunch Enchiladas","A delicious breakfast casserole made with flour tortillas. Enchiladas filled with ham,…"
"Fresh Salsa I","This all purpose salsa is great on tortilla chips, tacos and other Mexican-style favorites.…"
"Oaxacan Tacos","I learned how to make these tacos while a man from Oaxaca, Mexico lived with my family. …"
"Fabulous Fajitas","Wedges of onion and colorful bell pepper sauteed with chicken and mushrooms make…"
"Tortillas II","Make a small batch of fresh, tasty wheat tortillas with this easy-to-follow recipe."
"Real Homemade Tamales","I had been looking for a Tamale recipe for years. One day I went to the international market…"
"Andy's Spicy Green Chile Pork","Cook pork shoulder, green salsa, onion, cilantro, and serrano chile peppers together in a slow…"
"Mexican Wedding Cakes II","Light, crunchy, round, buttery balls, with chopped nuts in them, coated with…"
"Shrimp and Crab Enchiladas","Enchiladas made with shrimp, crab and Jack cheese. This is a great dish with a…"
"Mexican Zucchini Cheese Soup","This flavorful soup is made with chicken broth, zucchini, summer squash, and Velveeta®,…"
"Restaurant-Style Taco Meat Seasoning","This tastes very close to the taco seasoning favored by a very popular fast-food taco…"
"Real Sopapillas","Crispy Mexican flatbread deep fried and golden brown."
"Salsa II","This is a very good salsa recipe. Simple ingredients are boiled and blended to created…"
"Seven Layer Tex Mex Dip","This super seven layer dip is piled high with Mexican style goodies. Serve it with tortilla…"
"Slow Cooker Taco Soup with Ranch Dressing Mix","This slow cooker soup will remind you of tacos."
"Maria's Mexican Rice","A serrano pepper kept whole adds flavor without bringing heat to this Mexican-style…"
"Authentic Mexican Breakfast Tacos","Quick Easy and Delicious! I learned this recipe from many years of eating with the Mexican…"
"LuvAnn's Guacamole","This great dip is always the first to go at our barbeques. It's a simple guacamole, perfect…"
"Chicken Chimichangas","Tortillas filled with a chicken, rice, beans and olive mixture - rolled, fried and topped with a…"
"Restaurant-Style Tequila Lime Chicken","This spicy, marinated broiled chicken dish is the same as that of a well-known restaurant…"
"Simple Carnitas","This the easiest recipe for tasty pork carnitas with a hint of orange flavor and plenty of garlic."
"Quick and Easy Refried Beans","A simple combination of pinto beans, garlic, spices, and lime juice will give you refried…"
"Mexican Layered Dip","Like seven-layer salad, but with zesty Mexican ingredients that you can easily tuck into with…"
"Mexican Lasagna II","Seasoned ground beef and refried beans layered with cheese and tortillas and baked until hot…"
"Smothered Mexican Lasagna","A layered casserole made with ground turkey, ricotta and flour tortillas."
"Chile Verde II","A delicious Mexican dish of pork simmered in tomatillos and chiles."
"Easy Mashed Potato and Roasted Vegetable Enchiladas","This is the perfect comfort food for cold days. To make it vegan, substitute non-dairy…"
"Taco Salad III","Seasoned ground beef, pinto and kidney beans, lettuce, tomatoes, Cheddar cheese, and…"
"Chicken Taco Casserole","All of your favorite taco fixings can be found in this crowd-pleasing casserole. Plus, it uses…"
"Avocado Mango Salsa","Yowzers! Sweet and hot salsa with tangy mangoes and habaneros. Great with pork,…"
"Vegetarian Tortilla Stew","A delicious tortilla soup for vegetarians! The veggie chicken is optional, but adds a nice…"
"Slow Cooker Spicy Chicken","Chicken breasts slowly simmer until very tender in an easy mixture of salsa, garlic, onion, and…"
"Simple Slow-Cooked Korean Beef Soft Tacos","Beef gets a Korean spin in this preparation for taco filling with ginger, soy sauce, garlic, and…"
"Antojitos Minis","These little Mexican inspired appetizers are easy to prepare and the many ingredients may be…"
"Mexican Casserole","Small dinner pie made with salsa, tortillas, refried beans, cheese, and onions."
"Mexican Rice","Saffron gives this special rice a wonderful flavor and color, along with cumin and chili powder.…"
"Mexican Bean and Rice Salad","Brown rice gets dressed up Mexican style, with kidney and black beans, corn, peppers, lime,…"
"Tomato Enchilada Bake","All the essential enchilada ingredients are here: spiced chicken, tomato-rich sauce, sour…"
"Chicken Taco Filling","Slow-cooked chicken breasts need only chicken broth and taco seasoning to make a mean…"
"Conchas (Mexican Sweet Bread)","I got this recipe from my friends mom who owns a Mexican Bakery. When they made these one…"
"Taco Bake II","The whole family will enjoy this taco casserole consisting of ground beef, tomatoes and sour…"
"Taco Pizza","Pizza dough prepared in the bread machine is topped with refried beans, salsa, seasoned…"
"Bob's Mexican Stuffed Chicken","My boyfriend made me the best stuffed chicken last evening. It was so good that I crowned…"
"Green Chicken Enchilada","Very easy to make! Chicken and Monterey Jack Cheese filled flour tortillas topped with green…"
"Black Beans, Corn, and Yellow Rice","Make a meal out of a package of yellow rice by adding black beans, corn, and lime juice."
"Slow Cooker Chicken Mole","A unique blend of spices and cocoa powder turns into a rich and complex mole sauce after…"
"Veracruz-Style Red Snapper","Red snapper is cooked with a Mexican-inspired mixture of tomatoes, jalapeno peppers,…"
"Enchilada Casserole","The inclusion of tempeh adds a good measure of protein to this spicy enchilada casserole."
"Salsa","This is a recipe I just throw together, but it is very popular. Serve with tortilla chips."
"Mexican Style Cornbread","This buttermilk cornbread is thick with creamed corn, Cheddar cheese, fresh onion and…"
"Mexican Beef Supreme","My boyfriend is from Mexico and he whipped this up one night and it turned out great. Beef,…"
"Spinach and Mushroom Quesadillas","Flour tortillas filled with creamy Cheddar cheese, portabella mushrooms, and spinach.…"
"Jen's Fresh and Spicy Salsa","This recipe is bursting with flavor! It is fresh and spicy, and did I mention easy? This is the…"
"Monterey Chicken with Potatoes","This is a delicious dinner recipe developed by my mom. Roasted potatoes and chicken…"
"Mexican Pizza I","Mexican Pizzas are delicious corn tortillas topped with beans, beef and all the delicious…"
"Adobo Sirloin","Chipotle chiles, cumin, and lime juice give Mexican flavor to marinated and grilled steak.…"
"Mexican Chicken Soup","Tired of plain old Chicken Soup? Try this spunky Mexican inspired masterpiece. Adding the…"
"Tangy Chicken Fajitas","Lime, vinegar and Italian salad dressing mix offer an alternative to the usual…"
"The Best Red Enchilada Sauce","This smoky and savory enchilada sauce is flavored with dried Ancho chiles, garlic,…"
"Gary's Turkey Burritos","Easy to make, these special low-fat burritos taste awesome! You don't eat red meat, but…"
"Mexican Rice I","Easy to prepare and the flavor of Mexico is in your kitchen!"
"Taco Soup II","This is a really good and easy recipe. Top with shredded cheese, and serve with chips."
"Mexican Bean Pie","Layers and more layers make this tortilla and bean casserole incredible. It includes three…"
"Chili Potato Burritos","You can use any kind of chili pepper you like - I like poblano or chipotle the best. Buy them…"
"Crab Ceviche","This has always been a crowd pleaser in my home. This is wonderful as an appetizer…"
"White Chicken Enchilada Slow-Cooker Casserole","An easy, creamy chicken enchilada casserole. Slow cooking gently melds together the…"
"Authentic Mexican Chili Rellenos","Slightly spicy Anaheim chiles are stuffed with Mexican cheese, rolled in flour and beaten…"
"Quick Fish Tacos","Tilapia fillets are pan-fried in a jalapeno-infused oil and served with a quick cabbage slaw. For…"
"Mexican Tinga","This is an authentic Mexican favorite! Shredded chicken and onions are simmered in a thick…"
"Fantastic Mexican Dip","This recipe was given to me by my sister-in-law and always goes fast! Cream cheese at the…"
"Beef Chimichangas","Simple, yummy beef and cheese chimichangas bake for only 15 minutes in a hot oven. Then…"
"Albondigas Soup I","Rice and bite-sized meatballs made with pork and beef float in beef broth seasoned with…"
"Mexican White Cheese Dip/Sauce","Creamy and spicy, this cheese and green chili queso can be used as a dip for tortilla chips or…"
"Chicken Enchilada Casserole I","Cook chicken with cheese, chiles, tomatoes and canned soups, then layer with tortillas for an…"
"Fish Tacos Ultimo","The spicy yogurt sauce is what makes this fish taco the ultimate. With chipotle peppers and…"
"Mrs Espy's Enchilada Sauce","Tomato sauce, water, and seasonings are thickened with browned flour. Chicken or beef…"
"Cilantro-Lime Rice","Very similar to the rice of a famous burrito place, this rice pairs well with Mexican food and can…"
"Sweet Potato Enchiladas","Corn tortillas are stuffed with a sweet potato and cream cheese filling and baked with…"
"Taco in a Bag","This flavorful taco treat is a perfect snack to enjoy while mobile. Picnics and block parties…"
"Ground Beef with Homemade Taco Seasoning Mix","Taking just a little extra time to make this flavorful ground beef makes all the difference…"
"Easy Chicken Fajita Marinade","Chicken breast strips are marinated in Mexican-inspired flavorings and grilled for a tasty and…"
"Pork Stew in Green Salsa (Guisado de Puerco con Tomatillos)","Tender chunks of pork are seasoned, browned, and simmered with tomatillos, cilantro, and…"
"Mayan Couscous","Toasted garlic, jalapeno peppers, and fresh lime juice liven up this Mexican version of couscous…"
"Amazing Southwest Cilantro Lime Mango Grilled Chicken Sandwiches","This is a recipe I came up with while trying to figure out what to do with stuff I had on hand. …"
"Kiki's Borracho (Drunken) Beans","Growing up, my Mexican grandmother always had a pot of beans cooking on the stove. This…"
"Tomato, Corn and Avocado Salsa","Tomatoes, corn, and avocado come together in this colorful salsa recipe seasoned with lime…"
"Carne Asada Tacos","You will love these easy and flavorful tacos! Strips of beef are marinated in lime and…"
"Zesty Chicken Meatloaf","Ground chicken is spiced with taco seasoning mix and salsa for a zesty switch from the usual…"
"Chiles Rellenos Pie","This easy delicious dish is perfect in the winter, and light enough for summer. Anyone who…"
"Amy's Spicy Beans and Rice","Black, red or pinto beans are baked with jalapeno chile peppers and spices, and served…"
"Throw Together Mexican Casserole","Ground beef, olives, egg noodles, corn, taco sauce and seasoning give this throw together…"
"Enchiladas Verdes","Using a roasted chicken from the grocery saves time in this enchilada recipe with a spicy…"
"Ex-Girlfriend's Mom's Salsa Fresca (Pico de Gallo)","Tomatoes, red onion, jalapeno pepper, cilantro, and lime juice combine in this fresh-tasting…"
"Roasted Tomato Salsa I","This chunky, smoky salsa tastes amazing with tortilla chips. Roasted tomatoes, garlic, onion…"
"Black Bean Salsa","This thick, flavorful salsa will please everyone with it's exciting array of flavors and textures."
"Chicken Enchilada Soup II","This hearty soup won't leave you hungry! Chicken broth hosts enchilada sauce,…"
"Avocado Tacos","Lightly seasoned avocados and diced onions are spread on toasted tortillas and served with…"
"Shrimp Burritos","I worked at a Mexican restaurant that specializes in Baja dishes, and became addicted to this…"
"Enchanted Sour Cream Chicken Enchiladas","Sour cream and chicken fill these quick and easy enchiladas."
"Chile Rellenos","Delicious green chiles stuffed with cheese, dipped in a special batter and fried in canola oil."
"Over the Top Nachos","Ground beef is the key to these hearty classic nachos--it's generously spread over the chips…"
"Easy Chicken Posole","This easy-to-make chicken and hominy soup is one of many great Mexican Christmas…"
