Title,Description
"Chicken Cacciatore in a Slow Cooker","Easy and delicious, this recipe features chicken breast, spaghetti sauce, pepper, mushroom,…"
"Italian Kale","An easy Italian-style preparation of kale. The simple additions of balsamic vinegar and…"
"Wedding Gift Spaghetti Sauce","This rich and aromatic spaghetti sauce recipe is so special it was given as part of a wedding…"
"Chicken and Sun-Dried Tomato Bruschetta","Marinated chicken, spinach, feta, and sun-dried tomatoes are tossed with dressing and served…"
"Cheesy Sausage Pasta","Seashell pasta is bathed in a luxurious sausage and tomato cheese sauce to create the…"
"Cheesy Vegetable Lasagna","This rich lasagna is loaded with broccoli, carrots, onion, bell pepper, zucchini, and spinach in a…"
"Antipasto Salad","Here's a great picnic salad! Corkscrew-shaped pasta soaks up a tasty blend of oil, vinegar,…"
"Italian Biscotti","A traditional biscotti recipe. Great for dunking in coffee or tea."
"Mid-Summer Italian Bread Salad","A crusty rosemary bread works nicely for this classic Italian salad. The bread - pulled into…"
"Spinach Alfredo Sauce (Better than Olive Garden(R))","Crowd-pleasing spinach Alfredo sauce is quick and easy to prepare and tastes better than the…"
"Rolled Flank Steak","Rolled flank steak makes for a beautiful presentation, with the pinwheel cuts…"
"American-Italian Pasta Salad","Garden veggies with fusilli pasta, Italian Parsley, Genoa salami and creamy Italian dressing…"
"Veggie Lasagna Florentine","A host of vegetables are in every bite of this substantial lasagna made with mushrooms,…"
"Prune and Olive Chicken","In Chicken Marbella, as this dish is commonly known, chicken marinates in a sauce of…"
"Linguine with Chicken and Sauteed Vegetables","I've been making this recipe for a long time and I usually don't make it the same way twice. I…"
"Creamy Spinach Tortellini","In this family favorite, cheesy tortellini is dressed up with tomatoes, mushrooms,…"
"Homemade Sweet Italian Sausage (Mild or Hot)","It's easy to make your own Italian-style sausage with a lot of delicious herbs and spices. Freeze…"
"Broccoli Garlic Angel Hair Pasta","A beautiful side dish of broccoli and angel hair pasta with red pepper flakes is so delicious…"
"Hearty Meatball Sandwich","A cross between meatloaf and meatballs, this sandwich holds together without being messy."
"Pesto Pizza","Top a prepared pizza crust with pesto, your favorite veggies and feta cheese and you've…"
"Fabulous Cilantro Pesto","This is a delicious version of the classic with a little more zip! You can substitute the vinegar…"
"Fresh Tomato Pie","This savory layered pie is a great way to use up extra summer tomatoes--and it's delicious…"
"Calamari","This is a delicious, very easy, quick but moderately expensive recipe. Everyone I've…"
"Spinach and Cheese Stuffed Pasta Shells","Magnificent jumbo pasta shells stuffed to bursting with cheesy spinach filling."
"Pizzelles II","An thin traditional anise flavored Italian cookie made with a pizzelle iron."
"Pizza Chicken","Kick the flavor of ordinary breaded chicken breasts into a higher gear by topping them…"
"Classic and Simple Meat Lasagna","A family-pleasing version of lasagna is made with lean ground beef, whole wheat lasagna…"
"Italian Style Flounder","In this simple preparation, baked flounder fillets take on a delicious Italian-inspired flavor."
"Easy Pasta Fagioli","White cannellini beans, ditalini pasta with vegetables, tomato sauce and herbs in a…"
"Restaurant-Style Chicken Scampi","Toss together tender chicken morsels with spaghetti, a rainbow of bell peppers, loads of…"
"Lemon Orzo Primavera","Colorful vegetables and the flavors of lemon and thyme make this orzo dish great for picnics.…"
"Pizza Crust I","Your bread machine prepares this classic dough, with olive oil lending an authenticity to the…"
"Chef John's Chicken Riggies","This regional dish from Central New York is a rich pasta sauce made with Italian sausage,…"
"Slow-Cooker Lasagna","Have all the flavors you love in homemade lasagna without the fussy preparation and…"
"Chicken Pesto a la Lisa","The sunny, nutty taste of basil and pine nuts melds with the rich notes of sun-dried…"
"Easy Alfredo Sauce II","No cooking for this sauce, just toss with hot pasta."
"Pasta Fagioli Soup II","A quick and easy Italian favorite. Garnish with grated Romano cheese."
"Easy Pizza Sauce II","Let your oven do the cooked when you spread your home-made pizza with a delicious…"
"Salmon and Spinach Fettuccine","Smoked salmon, spinach, capers, and sun-dried tomatoes in a creamy Parmesan cheese sauce…"
"Italian Style Turkey Meatloaf","Turkey meatloaf gets an Italian flair through the use of Italian-style bread crumbs and Italian…"
"Sweet Pepper Pasta Toss with Kale","Sauteed sweet peppers and kale are tossed with farfalle pasta and sprinkled with a generous…"
"Parmesan Tomatoes","It only takes a few minutes to transform plain tomatoes into a spicy delicacy. Just slice ripe…"
"Sauceless Garden Lasagna","I developed this tasty lasagna to help use up the tomatoes, spinach, and zucchini from my…"
"Tuscan Cream Cheese Spread","Spread your bread with the earthy flavors of the Italian countryside. Cream cheese, garlic,…"
"Fabulous Foolproof Lasagna","A simple ricotta lasagna made with no-boil noodles and spaghetti sauce from a jar…"
"Italian Sausage Tortellini Bake","This delicious Italian baked tortellini dish will have you coming back for seconds."
"Italian BBQ Pork Chops","Pork chops with a quick homemade BBQ sauce made with balsamic vinegar, ketchup, and…"
"Bread Machine Thin Crust Pizza Dough","Use your bread machine to make a thin, chewy, flavorful pizza crust with just a few basic…"
"Homemade Chicken Parmigiana","Show the love with these breaded chicken breasts and homemade creamy tomato sauce.…"
"Linguine with Seafood and Sundried Tomatoes","Tender whole scallops and shrimp get a quick saute in hot, garlicky olive oil and butter…"
"Vegan Lasagna I","A thick tomato-based sauce is cooked up with hints of garlic, onion, parsley, and basil, and…"
"Chicken Marsala II","Flour coated chicken sauteed with a mushroom and Marsala wine sauce. Mmmm, rich Marsala…"
"Premium Pizza Crust","This is a very simple crust that will take some practice to perfect, unless you already know…"
"Garlic Lover's Pizza Crust for the Bread Machine","A delicious chewy crust with the wonderful flavor of garlic baked right in! Quick and…"
"Chicken Rotini Stovetop Casserole","Pasta noodles tossed with chicken, bell pepper and a creamy herb sauce--all prepared on the…"
"Camp David Spaghetti with Italian Sausage","A hearty ground beef and tomato pasta sauce is mixed with spaghetti, and topped with an…"
"Chicken Scallopini","Using a chicken demi-glace, a very concentrated and flavorful sauce base, will add a gourmet…"
"Crunchy Eggplant Parmesan","A deluxe version of eggplant Parmesan is layered like a lasagna with panko-breaded…"
"Easy Pepperoni Bread","Frozen bread dough makes this tasty recipe a breeze to prepare! Pepperoni, mozzarella…"
"Marinara Sauce","A simple tomato sauce with garlic, red wine and fresh bail. You'll never want to buy store…"
"Slow Cooker Italian Beef","Roast beef simmered with Italian-style spices, pepperoncini and beef broth for a tasty…"
"Chicken Piccata I","Lemon perks up this chicken in wine sauce, an easy company favorite."
"Chicken Penne Italiano","An Italian version of stir-fry, this tasty dish mixes cubed, boneless chicken and penne pasta…"
"Baked Spaghetti Casserole","This baked spaghetti casserole has layers of pasta, cottage cheese, spaghetti sauce, and…"
"Cavatelli and Broccoli","The freshest tips of broccoli are blanched and quickly sauteed in olive oil and garlic, then…"
"Italian Cookies II","Italian cookies made with ricotta cheese and frosted with a confectioners' icing. Delicious…"
"Spaghetti Italian","Delicious and not so sweet. Good to the last bowl!!"
"Homemade Four Cheese Ravioli","Fresh pasta filled with ricotta cheese, cream cheese, mozzarella cheese, and provolone…"
"Baked Pasta","Warm up a chilly evening with this hearty bake of ground beef and ziti pasta in a tasty tomato…"
"Chunky Marinara Sauce","You'll love this Marinara sauce! This is great with fried eggplant or meatballs. I'm sure you…"
"Romano Chicken","Rollups of chicken, Swiss and Parmesan cheeses, ham and herbs - breaded and quickly…"
"Italian Chicken with Garlic and Lemon","Chicken and pan-fried potatoes baked in a potent lemon, garlic and herb sauce."
"Sicilian Ricotta Cheesecake","This ricotta cheesecake is similar in style to an American cheesecake, but is much lighter.…"
"Ricotta Cheese Cookies","These soft Italian-style cookies are a hit with everyone. The ricotta keeps them moist, and…"
"Risotto with Tomato, Corn and Basil","This is a labor of love, lots of stirring and timing to get all the ingredients added and the…"
"Baked Pasta with Sausage and Baby Portobello Mushroom White Sauce","Cremini mushrooms (also called 'Baby Portobellos') join Italian sausage in this hot…"
"Tortellini Salad","An easy and delicious cold pasta salad tastes like an Italian antipasto platter, with cheese…"
"Jackie's Sausage Soup","This one-pot soup doesn't take a lot of time, but it sure tastes like it does. Italian sausage,…"
"Italian Stuffed Chicken Breast","Italian-inspired stuffed chicken breasts are loaded with plenty of cheese and seasonings…"
"Zucchini Saute","Zucchini is sauteed with red onion, mushrooms, tomato and herbs. You can use any veggies…"
"Creamy Italian Dressing II","This smooth and creamy dressing has the pungency of lemon juice and red wine vinegar…"
"Allie's Mushroom Pizza","A simple mushroom spinach pizza, much better then takeout pizza!"
"Mama Corleone's Sausage and Peppers","This dish was inspired by a description in the novel, 'The Godfather.' It is also a favorite with…"
"Mike's Homemade Pizza","A great recipe for homemade pizza dough and sauce. The sauce is especially good. Top with…"
"Pignoli Cookies I","They are pleasantly sweet, made with almond paste and pine nuts, but no flour."
"Mediterranean Black Olive Bread","Any olive will work in this bread, so try Kalamata today, and Nicoise next week."
"Pasta Fazool (Pasta e Fagioli)","This classic Italian-American comfort food works with any kind of sausage, but Chef…"
"Clams Italiano","These clams are steamed in wine, butter, and spices. When the clams are gone, dip Italian…"
"Lentil Rice and Veggie Bake","Lentils, rice, tomato sauce, herbs, and vegetables yield a wonderful meal for vegans…"
"Cream of Chicken and Gnocchi Soup","Cream of chicken and gnocchi soup just like the famous Italian restaurant chain's soup can be…"
"Caprese Salad with Balsamic Reduction","The lovely Italian salad of sliced tomato, mozzarella cheese, and fresh basil leaves gets…"
"Easy Polenta with Tomato Sauce","My entire family loves this recipe. A quick baked polenta topped with red sauce. Very easy to…"
"Pesto Pasta","For a simple, savory dish cook chopped onions in olive oil and ready-made pesto. Toss with…"
"Pizzelles III","This recipe calls for a batter-like dough and is baked on a pizzelle iron. Powdered sugar adds…"
"Italian Anisette Cookies","Traditional Italian anisette cookies are quick and easy to make with just a few ingredients,…"
"Swordfish a la Siciliana","Sweet raisins, sour olives and piquant capers conspire to make this a memorable main dish."
"How to Make Perfect Polenta","Creamy, cheesy polenta is a side dish that goes great with all kinds of meats and sauces. You…"
"Meatball Sub Casserole","Start with frozen meatballs, prepared sauce, and a loaf of frozen garlic bread and serve your…"
"Pesto Pasta Caprese Salad","Rotini pasta is tossed with pesto, fresh mozzarella, and tomatoes for a colorful pasta…"
"Summer Squash Chicken Alfredo","Chicken, zucchini, and yellow squash are served over pasta with an Alfredo sauce, and…"
"Chris's Incredible Italian Turkey Meatloaf","A household favorite, I created this recipe after giving up flour, cheese and most sugar. It is a…"
"Italian Chicken and Chickpeas","This spin on an Italian tradition consists of chicken breasts and garbanzo beans in a…"
"Johnsonville(R) Italian Meatballs","Using ground Italian sausage plus a few simple ingredients makes these flavorful meatballs…"
"Chicken Scampi I","A wonderful, fresh, light way to serve chicken. Good over rice."
"Roasted Garlic without Foil","I love garlic! It's so easy to roast, and there are so many different ways to do it. It's great…"
"Personal Portobello Pizza","A delicious recipe that substitutes a portobello mushroom for a pizza crust. Try using pesto…"
"Key West Penne","A deliciously rich medley of scallops, shrimp, artichokes, sun-dried tomatoes and pasta! …"
"Risotto with Sun-Dried Tomatoes and Mozzarella","This is a great risotto when you have the time, it is not a lot of work but it can take awhile to…"
"Easy Butternut Squash Ravioli","These easy butternut squash ravioli are a terrific way to use up leftover roasted butternut…"
"Chicken Piccata with Angel Hair Pasta","This stunning classic piccata made with a tangy and savory lemon and white wine sauce is…"
"Zeppole","This is a simple recipe for an Italian delicacy. These fried ricotta doughnut-like cookies are…"
"Insalata Caprese I","Thick wedges of ripe tomatoes, fresh Mozzarella and slices of red onion are tossed in olive oil…"
"Pasta e Fagioli II","Wonderful Italian veggie soup. My parents had it while in Rome and convinced the chef to give…"
"Yummy Lasagna","Lasagna with ground beef and pepperoni, ricotta and mozzarella."
"Penne Pasta with Veggies","Penne is baked with asparagus, broccoli, red bell pepper, zucchini, prosciutto, sun-dried…"
"Jasmine's Brussels Sprouts","A tasty side dish that combines the flavors of garlic and pancetta with Brussels sprouts."
"New York Italian Pizza Dough","Real New York-style pizza crust is chewy, thin, a little flexible, and dotted with bubbles and…"
"Fettucine Carbonara","Creamy fettuccini flavored with crispy bacon and delicious Parmesan cheese."
"Pepperoni Casserole","Spaghetti with a twist! Your standard spaghetti topped with a combination of…"
"Seafood Lasagna II","This super rich, Alfredo based seafood lasagna is a huge hit in our family. It takes a while to…"
"Amazing Sun-Dried Tomato Cream Sauce","This is a recipe I've created myself - and everyone that tries it loves it. It tastes just like…"
"Spaghetti Pizza Lasagna","Baked spaghetti with ground beef and pepperoni topped with shredded cheese."
"Limoncello","Truly distinguished ice cold refreshing drink! Lemon zest is steeped in vodka for a week,…"
"Italian Meatballs","Baked meatballs seasoned with oregano and garlic, simmered in spaghetti sauce."
"Awesome Broccoli Marinara","This is a great quick version of an Italian traditional side dish in our family all the way…"
"Cheese Lasagna","A meatless lasagna made with ricotta, parmesan and mozzarella cheese."
"Angel's Yummy Bruschetta","A delicious Italian appetizer that was divided and revised and modified over several years. I…"
"Penne Pasta with Cannellini Beans and Escarole","This is a great pasta dish. The hardest part of the whole recipe is cutting the escarole. It is fast,…"
"Italian Summer Squash Polenta Bake","Even the name of this dish makes your mouth water. But we love polenta, and so will you…"
"Chicken Valdostano","Delicious Italian skillet dish with prosciutto ham, fontina cheese (one of Italy's best…"
"Mushrooms and Spinach Italian Style","This recipe is a typical recipe of Southern Italy, specifically Apulia. Spinach and mushrooms…"
"Rosemary Pasta in Roasted Garlic Sauce","My mother has been making this dish for as long as I can remember. Lots of rosemary and…"
"Chicken with Artichokes and Sundried Tomatoes","Angel hair pasta topped with chicken, artichoke hearts, sun-dried tomatoes, and feta cheese is…"
"Batman's Best Caesar Dressing","Fast, easy, creamy Caesar salad dressing that is also an excellent marinade for chicken or…"
"Rita's Spinach Casserole","This is a quick and delicious way to get kids to eat spinach! Ground beef and tomato sauce…"
"Amazing 'Pizza' Pork Chops","Topping your pork chops with tomato, basil, oregano, garlic, and mozzarella cheese will…"
"Pasta Sauce with Italian Sausage","A flavorful homemade recipe for those who like meaty, savory sauces. Serve over your favorite…"
"Simple Sicilian Salad Dressing","Shake olive oil and balsamic vinegar in a jar with dried oregano and freshly ground pepper to…"
"Turkey Tetrazzini","This is a great recipe for leftover turkey. Even those who say they don't like turkey will eat…"
"Parmesan Puffs","Parmesan cheese dough drops are baked into puffy little appetizer balls and dipped in warm…"
"Pasta with Italian Sausage and Pumpkin Sauce","Tender campanelle (trumpet-shaped pasta) are served in a creamy sauce with Italian sausage…"
"Four Cheese Sauce","A marvelous alchemy of heavy cream, butter and Parmesan, mozzarella, provolone and…"
"Sweet Sausage Marsala","This is a great Italian dish that doesn't require a lot of work. Sweet Italian sausage is cooked…"
"Eggplant Parmesan Casserole","Use Chef John's simple techniques to make an eggplant casserole that has all the flavor and…"
"Italian Sausage with Farfalle and Broccoli Rabe","A beautiful two pan entree that'll please anyone who likes Italian sausage. Delicious with…"
"Chicken Manicotti Alfredo","Large manicotti noodles are stuffed with an aromatic blend of marinated chicken, ricotta…"
"Italian Style Sausage","Custom-blend herbs and spices to make your own Italian sausage! Try this earthy mix of…"
"Italian Baked Cannelloni","A savory, creamy, cheesy meat filling is stuffed into pasta shells and topped with a…"
"Italian Butter","If you are looking for a Italian bread dip, try this. It makes a spectacular bread dip, suitable for…"
"Spicy Oil and Vinegar Bread Dip","This recipe is fantastic with warm crusty Italian bread, or any other bread for that matter! Use…"
"Orzo with Chicken and Artichokes","Orzo with Artichokes, Balsamic vinegar and Chicken -- as easy as A-B-C! Pancetta, spinach,…"
"Easy Four Cheese Lasagna","Meatless lasagna with cottage cheese, mozzarella, Cheddar and Parmesan."
"Italian Cookies I","This cookie recipe has been handed down to me from my grandmother. It has been in the…"
"Italian Subs - Restaurant Style","This is a classic Italian sub sandwich with three kinds of meat and provolone cheese. The kind…"
"Ellen's Chicken Cacciatore","Tender chicken thigh meat simmers in a savory tomato sauce for an Italian-inspired meal…"
"Exquisite Yeastless Focaccia","This recipe for focaccia was given to me by my best friend, who is Italian. It's incredibly…"
"Aunt Anne's Sesame Cookies","After trying my hand at countless sesame cookie recipes, my Italian girlfriend shared her Aunt…"
"Stuffed Eggplant Parmesan","Eggplant centers are cooked with onion, garlic, and seasonings, then re-stuffed into the…"
"Cranberry Almond Biscotti","I modified a recipe to make this a darker biscotti. For a richer almond flavor, use…"
"Italian Rice Balls","These cheesy deep-fried rice balls are served with Italian dinners as a side like a bread.…"
"Owen's Mozzarella and Tomato Salad","So easy, looks great, and tastes fabulous. Plump tomatoes are topped with thick slices of…"
"Fantastic Focaccia Bread","This easy to make focaccia bread is terrific for sandwich making."
"Chicken Lasagna IV","This lasagna is baked with a creamy blend of cream of chicken soup, cream of mushroom…"
"Fettuccini Tomato Rustica II","Fettuccini is tossed with olive oil, chicken, pesto, ricotta, feta and sun-dried tomatoes."
"Cabbage and Smoked Sausage Soup","Even kids who don't care for vegetable soup may enjoy this one. Very good flavor.…"
"Skillet Spinach Lasagna","Sausage, lasagna noodles, and spinach are simmered with tomatoes and ricotta cheese…"
"Basic Cheese Polenta","Parmesan cheese gives this polenta a nice, subtle cheese flavor. Serve it immediately as a…"
"Brian's Favorite Sauce","Italian sausage is sauteed with onion and garlic, then simmered with tomatoes, oregano and…"
"Italian Eggplant Tomato Bake","Eggplant, tomato, and cheeses are layered, baked, then served over pasta. An easy and…"
"Artichoke and Tomato Chicken","This is a delicious recipe that I came up with one afternoon when I couldn't find anything to…"
"Manicotti Shells","Fill with your favorite filling, fold over sides and bake with sauce and cheese."
"Fideo (Mexican Spaghetti)","A very unusual but very delicious pasta dish. My Mexican grandfather used to make it and I…"
"Braised Pork Ragu","This rich pork and tomato ragu is best when served over Parmesan risotto, but also tastes…"
"Vegetable Medley I","Basil, oregano and olive oil, and lots of fresh vegetables are warmed together, sprinkled…"
"Sirloin Marinara","Sirloin strips and onions are sauteed, and then simmered with tomato sauce, red wine, and…"
"Pizza Crust for Bread Machine","Semolina flour is specified here for its ability to hold shape. No floppy crust from this recipe,…"
"Ham and Asparagus Fettuccine","Asparagus and diced ham dress up this springtime fettuccine Alfredo."
"Crab Alfredo","Simply put, delicious! A little on the decadent side, but it can be made with fat-free…"
"Grandma's Best Ever Sour Cream Lasagna","Sour cream is the surprise ingredient in this meaty lasagna. It makes the cheese layer…"
"Gourmet White Pizza","Yummy! This is a wonderful pizza for those who are looking to get away from the basic, cheese…"
"Quick Italian Vegetable Soup","A quick Italian vegetable soup ready in less than an hour. A sprinkle of fresh grated Parmesan…"
"Party Italian Wedding Soup","A large batch of traditional Italian Wedding soup. This soup offers plenty of meat,…"
"Baked Fettuccine Lasagna","Creamy and comforting, this noodle casserole combines sauteed onion and bell peppers…"
"Delicious and Easy Mock Risotto","If you love creamy risotto, but can't stand the fuss behind making it, this is a great and…"
"My Best Chicken Piccata","Golden-brown pieces of chicken breast are served in a light lemon and white wine sauce…"
"Cannoli","Ana and Lydia's cannoli, recipe invented on July 31st, 2005. I spent a lot of time looking for a…"
"Lori's Spicy Chipotle Lasagna","This version of lasagna packs lots of flavor from Parmesan and Asiago!"
"Beef Parmesan with Garlic Angel Hair Pasta","If you love garlic, try tossing angel hair pasta with garlic, butter, Parmesan and parsley. Use…"
"Emily's Famous Tiramisu","Homemade ladyfingers are soaked in a rum-coffee syrup and layered with sweetened…"
"Meatloaf with Italian Sausage","Ground beef and Italian sausage mixed with bell pepper, onion, hot wheat cereal and meatloaf…"
"Shrimp Linguine with Tomatoes","Pasta with shrimp in a creamy cheese and herb sauce. I created this dish after trying a similar…"
"Pork Chops with Italian Sausage","Popular Italian ingredients like mushrooms, sausage, red wine and herbs make this pork…"
"Ricotta Cookies II","Delicate Italian ricotta cookies with an almond flavored glaze. Very good!"
